society,colony,property_type,price,price_per_sqft,Total Floors,Facing,bedrooms,bathrooms,balconies,mainarea,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories
sage suncity,bhopal,House,105.0,3750,1.0,,7,5,0,2800.0,0,0,0,0,0,0,1,71,Green View Homes
danish hills view,kolar road,Flat,84.99,6508,2.0,North,3,3,1,1306.0,0,0,0,1,0,1,1,35,Green View Homes
narmada prem kesar,katara hills,Flat,18.47,2173,3.0,West,2,2,3,850.0,0,0,0,0,0,0,1,15,Green View Homes
gurunanak pura independent house,aishbagh,House,141.82,5909,2.0,West,8,5,1,2400.0,0,0,0,1,0,0,0,18,Road Facing Homes
chuna bhatti,chuna bhatti,House,650.0,16250,3.0,,6,6,2,4000.0,1,1,1,1,0,0,2,10,Road Facing Homes
ankit parisar nayapura,kolar road,House,112.49,4687,1.0,East,4,6,2,2400.0,1,0,1,1,0,0,1,37,Road Facing Homes
bairagarh,bairagarh,House,65.0,3611,3.0,,2,4,0,1800.0,0,0,0,0,0,0,1,0,Road Facing Homes
abdl aashima anupama city,misrod,House,70.99,9659,2.0,East,3,3,2,735.0,0,0,0,0,0,0,1,31,Green View Homes
kolar road,kolar road,House,144.99,5370,1.0,,4,4,1,2700.0,0,0,0,0,0,0,1,13,Road Facing Homes
sukhi sewania,outside bhopal,House,25.0,2976,,,2,1,3,840.0,0,0,0,0,0,0,1,28,Green View Homes
chitrance sai vihar,outside bhopal,House,126.3,4210,2.0,North,3,3,2,3000.0,0,0,0,0,0,0,0,17,Green View Homes
aakriti aqua city,hoshangabad road,House,63.25,5271,1.0,,3,3,1,1200.0,0,0,0,0,0,0,1,9,Green View Homes
bypass road,bypass road,House,37.0,3700,1.0,,3,2,1,1000.0,0,0,0,0,0,0,1,0,Green View Homes
bda gharonda barrai,katara hills,Flat,10.0,2000,3.0,,1,1,1,500.0,0,0,0,0,0,0,1,10,Road Facing Homes
lakhumal nikhil nestles,hoshangabad road,Flat,33.0,2750,4.0,West,2,2,2,1200.0,0,0,0,0,0,0,1,69,Amenity Facing Homes
mamta nagar,piplani,House,39.99,6153,3.0,North,6,3,3,650.0,0,0,0,0,0,0,1,0,Road Facing Homes
agrawal sagar lakeview homes,ayodhya bypass,Flat,75.0,4162,3.0,,3,3,3,1802.0,0,0,1,0,0,0,0,117,Amenity Facing Homes
