society,colony,property_type,price_outer,price_per_sqft,Total Floors,Facing,bedrooms,bathrooms,balconies,area,super_built_up_area,built_up_area,carpet_area,plot_area,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories,area/bedrooms
sage suncity,bhopal,House,105.0,3750,1.0,,7,5,0,2800.0,,2800.0,,,0,0,0,0,0,0,1,71,Green View Homes,400.0
danish hills view,kolar road,Flat,85.0,6508,2.0,North,3,3,1,1306.08,,,1306.0,,0,0,0,1,0,1,1,35,Green View Homes,435.35999999999996
narmada prem kesar,katara hills,Flat,25.0,2173,3.0,West,2,2,3,1150.48,1150.0,,850.0,,0,0,0,0,0,0,1,15,Green View Homes,575.24
gurunanak pura independent house,aishbagh,House,65.0,5909,2.0,West,4,5,1,1100.02,,2400.0,2200.0,1100.0,0,0,0,1,0,0,0,18,Road Facing Homes,137.5025
chuna bhatti,chuna bhatti,House,650.0,16250,3.0,,6,6,2,4000.0,,,,4000.0,1,1,1,1,0,0,2,10,Road Facing Homes,666.6666666666666
ankit parisar nayapura,kolar road,House,75.0,4687,1.0,East,4,6,2,1600.17,,2400.0,,1600.0,1,0,1,1,0,0,1,37,Road Facing Homes,400.0425
bairagarh,bairagarh,House,65.0,3611,3.0,,2,4,0,1800.06,,1800.0,,,0,0,0,0,0,0,1,0,Road Facing Homes,900.03
abdl aashima anupama city,misrod,House,71.0,9659,2.0,East,3,3,2,735.07,,,,735.0,0,0,0,0,0,0,1,31,Green View Homes,245.02333333333334
kolar road,kolar road,House,145.0,5370,1.0,,4,4,1,2700.19,,2700.0,,,0,0,0,0,0,0,1,13,Road Facing Homes,675.0475
sukhi sewania,outside bhopal,House,25.0,2976,,,2,1,3,840.05,,,,840.0,0,0,0,0,0,0,1,28,Green View Homes,420.025
chitrance sai vihar,outside bhopal,House,80.0,4210,2.0,North,3,3,2,1900.24,,3000.0,2200.0,1900.0,0,0,0,0,0,0,0,17,Green View Homes,633.4133333333333
aakriti aqua city,hoshangabad road,House,36.9,5271,1.0,,3,3,1,700.06,,1200.0,,700.0,0,0,0,0,0,0,1,9,Green View Homes,233.35333333333332
bypass road,bypass road,House,37.0,3700,1.0,,3,2,1,1000.0,,,,1000.0,0,0,0,0,0,0,1,0,Green View Homes,333.3333333333333
bda gharonda barrai,katara hills,Flat,10.0,2000,3.0,,1,1,1,500.0,,,500.0,,0,0,0,0,0,0,1,10,Road Facing Homes,500.0
lakhumal nikhil nestles,hoshangabad road,Flat,33.0,2750,4.0,West,2,2,2,1200.0,1200.0,,,,0,0,0,0,0,0,1,69,Amenity Facing Homes,600.0
mamta nagar,piplani,House,50.0,6153,3.0,North,2,3,3,812.61,,,,650.0,0,0,0,0,0,0,1,0,Road Facing Homes,135.435
agrawal sagar lakeview homes,ayodhya bypass,Flat,69.0,4162,3.0,,3,3,3,1657.86,1802.0,,,,0,0,1,0,0,0,0,117,Amenity Facing Homes,552.62
rudraksh kasturi,salaiya,Flat,68.0,3885,5.0,East,3,3,2,1750.32,1750.0,,,,0,0,0,0,0,0,1,67,Amenity Facing Homes,583.4399999999999
girnar hills,awadhpuri,Flat,23.0,3622,1.0,,2,2,2,635.01,,,635.0,,0,0,0,0,0,0,1,33,Amenity Facing Homes,317.505
anupam kasturi,bhopal,House,40.0,7619,3.0,,2,1,1,525.0,,,,525.0,0,0,0,0,0,0,1,22,Road Facing Homes,262.5
naveen nagar,bhopal,House,180.0,18750,2.0,North,4,4,1,960.0,,,,960.0,0,0,0,0,0,0,0,3,Road Facing Homes,240.0
chanakyapuri,chuna bhatti,House,150.0,10000,2.0,,3,4,2,1500.0,,,,1500.0,0,0,0,0,0,0,1,0,Road Facing Homes,500.0
hoshangabad road,hoshangabad road,House,260.0,18571,4.0,,4,5,1,1400.03,,,,1400.0,0,1,0,1,1,0,1,22,Amenity Facing Homes,350.0075
yashoda desire,bagmuliya,Flat,60.0,3833,1.0,West,3,3,3,1565.35,,,1565.0,,0,0,0,0,0,0,0,28,Green View Homes,521.7833333333333
bairagarh,bairagarh,House,40.0,5925,1.0,,3,3,0,675.11,,675.0,,,0,0,0,0,0,0,1,0,Road Facing Homes,225.03666666666666
trilanga,shahpura,House,200.0,9523,2.0,East,6,7,3,2100.18,,,,2100.0,0,0,1,1,0,0,0,13,Green View Homes,350.03
bagsewaniya,bagmuliya,House,295.0,10350,2.0,East,4,4,1,2850.24,,,,2850.0,0,0,0,1,0,0,0,31,Amenity Facing Homes,712.56
maharshi patanjali,gandhinagar,Flat,7.0,1272,1.0,,1,1,1,550.31,,,550.0,,0,0,0,0,0,0,1,0,Road Facing Homes,550.31
gulmohar g3,shahpura,House,600.0,30769,1.0,North-East,4,4,1,1950.01,,,,1950.0,0,0,0,0,0,0,0,9,Green View Homes,487.5025
omen residency,habib ganj,Flat,26.0,4031,2.0,,1,1,1,645.0,,,645.0,,0,0,0,1,0,0,0,22,Road Facing Homes,645.0
nirupam royal palms,hoshangabad road,Flat,22.5,2588,4.0,West,2,1,1,869.4,850.0,,,,0,0,0,0,0,0,1,51,Amenity Facing Homes,434.7
aerocity,gandhinagar,House,85.0,5666,1.0,South-West,3,4,2,1500.18,,1000.0,,1500.0,0,0,0,0,0,0,1,25,Green View Homes,500.06
ramayan south avenue,katara hills,House,100.0,8333,2.0,,3,3,1,1200.05,,,,1200.0,0,0,0,0,0,0,1,70,Green View Homes,400.01666666666665
kalapani,outside bhopal,House,55.0,6111,2.0,North,4,2,2,900.02,,,1800.0,900.0,0,0,0,0,1,0,1,3,Green View Homes,225.005
agrawal sagar landmark,ayodhya bypass,Flat,75.0,3797,7.0,North,4,4,3,1975.24,1975.0,,,,0,0,0,0,0,0,0,56,Amenity Facing Homes,493.81
katara hills,katara hills,House,78.0,6500,1.0,East,2,2,1,1200.0,,,,1200.0,0,0,0,1,0,0,1,14,Green View Homes,600.0
laharpur,bagmuliya,House,231.0,9240,2.0,South,4,3,2,2500.0,,3000.0,2500.0,2400.0,1,1,0,0,1,0,1,8,Green View Homes,625.0
asnani pebble bay phase 2,katara hills,House,100.0,8733,2.0,North,3,3,2,1145.08,,2000.0,,1145.0,0,0,0,1,0,0,1,9,Green View Homes,381.6933333333333
signature residency,shirdipuram,Flat,82.0,4823,2.0,East,3,3,2,1700.19,1700.0,,,,0,0,0,0,0,0,0,62,Amenity Facing Homes,566.73
lalita nagar,gehu kheda,House,100.0,3333,1.0,North,6,6,2,3000.3,,3000.0,,,0,0,0,0,0,0,1,21,Road Facing Homes,500.05
f-sectorkolar road,kolar road,House,39.0,520,2.0,North,3,2,1,7500.0,,,,7500.0,0,0,0,0,0,0,1,8,Road Facing Homes,2500.0
kalpana nagar,piplani,House,200.0,8333,2.0,,5,4,2,2400.1,,,,2400.0,0,0,0,0,0,0,1,19,Road Facing Homes,480.02
harisiddhi apartment s2,bhopal,Flat,26.0,3933,2.0,,2,2,0,661.07,661.0,,,,0,0,0,0,0,0,1,0,Road Facing Homes,330.535
geet skyville,ayodhya bypass,Flat,35.0,2333,6.0,,2,2,3,1500.21,,,1500.0,,0,0,0,0,0,1,0,27,Green View Homes,750.105
kolar road,kolar road,House,45.0,3333,1.0,,3,3,0,1350.14,,1350.0,,,0,0,0,0,0,0,1,13,Road Facing Homes,450.0466666666667
krishna colony,neelbad,House,59.0,3856,1.0,North,3,2,0,1530.08,,1530.0,1500.0,1530.0,0,0,0,0,0,0,1,9,Road Facing Homes,510.02666666666664
sagar pearl phase 2,hoshangabad road,Flat,58.0,5800,3.0,North,3,2,2,1000.0,,,1000.0,,0,0,0,0,0,0,0,45,Green View Homes,333.3333333333333
bda flats,piplani,Flat,45.0,3750,1.0,,2,1,2,1200.0,,1200.0,1000.0,,0,0,0,0,0,0,1,0,Road Facing Homes,600.0
sagar eden garden,hoshangabad road,Flat,45.0,3409,3.0,,3,2,2,1320.04,,1320.0,,,0,0,0,0,0,0,1,0,Road Facing Homes,440.0133333333333
sanjeev nagar,gandhinagar,House,175.0,3696,1.0,West,7,6,3,4734.85,,4600.0,2400.0,,0,0,0,0,0,0,1,7,Green View Homes,676.407142857143
gomti colony,bhopal,House,125.0,10417,2.0,,4,4,2,1199.96,,,1200.0,,0,0,0,0,0,0,1,0,Road Facing Homes,299.99
sector c shahpura,shahpura,House,32.0,8000,1.0,North,2,2,1,400.0,,600.0,,400.0,0,0,0,0,0,0,1,9,Green View Homes,200.0
vasundhara parisar teela jamalpura,shahjahanabad,Flat,25.0,2617,4.0,North,4,4,1,955.29,,,955.0,,0,0,0,0,0,0,0,73,Road Facing Homes,238.8225
radha apartment bhagat singh chowk,shahjahanabad,Flat,12.0,2962,2.0,East,1,1,1,405.13,,,405.0,,0,0,0,0,0,0,1,3,Road Facing Homes,405.13
aakriti garden,central bhopal,House,175.0,7000,1.0,West,3,3,2,2500.0,,,2500.0,,0,0,0,0,0,0,1,0,Road Facing Homes,833.3333333333334
new minal residency,bhopal,House,210.0,12580,1.0,West,4,3,3,1669.32,,2400.0,2250.0,1550.0,1,0,0,1,0,0,0,24,Green View Homes,417.33
raj minal residency,ayodhya bypass,Flat,25.0,5000,3.0,,1,1,1,500.0,500.0,,,,0,0,0,0,0,0,1,65,Road Facing Homes,500.0
sanjeev nagar,gandhinagar,House,115.0,7666,2.0,West,4,5,3,1500.13,,,,1500.0,0,0,0,1,0,0,0,7,Green View Homes,187.51625
bharati niketan,habib ganj,House,150.0,10000,2.0,East,5,4,2,1500.0,,,,1500.0,0,0,0,0,0,0,1,9,Green View Homes,300.0
rajved colony,gehu kheda,House,31.0,5166,2.0,North,2,3,1,600.08,,,,600.0,0,0,0,1,0,0,1,6,Road Facing Homes,150.02
swadesh red square,misrod,House,170.0,10625,2.0,East,5,5,2,1600.0,,3200.0,,1600.0,1,1,1,1,0,0,1,85,Amenity Facing Homes,320.0
fortune soumya atlantis,katara hills,Flat,22.0,2355,2.0,West,2,2,2,934.18,934.0,,,,0,0,0,0,0,0,1,42,Amenity Facing Homes,467.09
victoria appts.,shahjahanabad,Flat,35.0,4545,3.0,,2,2,1,770.08,,,770.0,,0,0,0,0,0,0,1,9,Road Facing Homes,385.04
patel nagar colony,patel nagar,House,34.9,5816,2.0,East,2,2,1,600.07,,800.0,600.0,390.0,0,0,0,0,0,0,0,24,Road Facing Homes,300.035
landmark the prospera,bagmuliya,Flat,23.0,3066,1.0,,2,2,1,750.16,,,750.0,,0,0,0,0,0,0,1,35,Green View Homes,375.08
fine avenue phase 2,bhopal,House,70.0,5833,1.0,East,3,2,2,1200.07,,,,1200.0,0,0,0,1,1,0,1,0,Road Facing Homes,400.0233333333333
gopal nagar,patel nagar,House,56.0,6363,2.0,,3,2,2,880.09,,,1250.0,880.0,0,0,0,0,0,0,1,13,Road Facing Homes,293.36333333333334
saket nagar,habib ganj,House,270.0,10588,2.0,North-East,5,4,3,2550.06,,,,2550.0,1,1,0,0,0,0,1,22,Road Facing Homes,510.012
bhel nagar,ayodhya bypass,House,65.0,4333,1.0,West,3,3,0,1500.12,,,,1500.0,0,0,1,0,0,0,1,0,Road Facing Homes,500.03999999999996
karond,karond,House,70.0,7000,2.0,West,4,2,1,1000.0,,,,1000.0,0,0,0,0,1,0,0,4,Green View Homes,250.0
