pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Property Age,furnishing,features,ratings,Overlooking
"3 BHK Flat in Shahpura, Bhopal",Green Heights,₹75 Lac,"₹6,000 /sqft",Ready To Move,"Situated in shahpura, bhopal, green heights is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bhopal is your opportunity to be a part of this community. This property faces the east direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a carpet area of 1250 sq.Ft. This flat is situated on the 1st floor of this 6 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 5-10 years old property. The well built vitrified flooring enhances the aesthetic appeal of this flat. Proximity to landmarks like close to mall makes this an ideal property for families. The flat will offer a modern lifestyle as it is presented with many of the amenities such as maintenance staff, visitor parking, park and lift(s). The residential project is well equipped to meet all your water needs through access to municipal corporation and borewell/tank supply.","Carpet area: 1250
(116.13 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 75 Lac
@ 6,000 per sq.ft. (Negotiable) View Price Details","Green Heights
Shahpura, Bhopal",1st   of 6 Floors,East,5 to 10 Year Old,"['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '3 Geyser', '9 Light', '1 Chimney', '1 Modular Kitchen', '3 AC', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in MP Nagar, Bhopal",Keelandev Apartments,₹1.85 Cr,"₹10,481 /sqft",Ready To Move,For sale 3.5 bhk flat kilandev tower shivaji nagar bhopal Best rental services,"Super Built up area 1765
(163.97 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Servant Room","₹ 1.85 Crore+ Govt Charges & Tax
@ 10,481 per sq.ft. View Price Details","Keelandev Apartments
MP Nagar, Bhopal",5th   of 10 Floors,North-West,1 to 5 Year Old,"['2 Wardrobe', '3 Fan', '1 Exhaust Fan', '2 Geyser', '8 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Main Road
"2 BHK Flat in New Central Jail, Bhopal",Satya Prakash Nice Space,₹35 Lac,"₹2,788 /sqft",Ready To Move,Luxurious 2 bhk apartment with all the modern amenities,"Super Built up area 1255
(116.59 sq.m.)
Built Up area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 35 Lac+ Govt Charges & Tax
@ 2,788 per sq.ft. (All inclusive, Negotiable) View Price Details","Satya Prakash Nice Space
, Bhopal",3rd   of 8 Floors,West,1 to 5 Year Old,[],"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",[],"Park/Garden,Club,Pool,Main Road"
"3 BHK Flat in Hoshangabad Road, Bhopal",Lakhumal Nikhil Nestles,₹48 Lac,"₹2,953 /sqft",Ready To Move,"Situated in hoshangabad road, bhopal, lakhumal nikhil nestles is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bhopal is your opportunity to be a part of this community. This is a south-West-Facing property. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1625 sq.Ft. The property is located on the 1st floor of a 6 floors tall building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The well built vitrified flooring enhances the aesthetic appeal of this flat. The society complex is in the close vicinity of close to school, close to market, close to hospital and close to railway station, making it an ideal home for a relaxed lifestyle. All the modern amenities such as fitness centre / gym, club house / community center, park, shopping centre, lift(s), security personnel, maintenance staff, water softening plant and visitor parking will make life easier for you. The society provides continuous water supply from municipal corporation and borewell/tank.","Super Built up area 1625
(150.97 sq.m.)
Built Up area: 1440 sq.ft. (133.78 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies with Pooja Room,Servant Room,Study Room,Others","₹ 48 Lac+ Govt Charges & Tax
@ 2,953 per sq.ft. (Negotiable) View Price Details","Lakhumal Nikhil Nestles
Hoshangabad Road, Bhopal",1st   of 6 Floors,South-West,1 to 5 Year Old,"['1 Water Purifier', '1 Fridge', '6 Fan', '1 Exhaust Fan', '1 Geyser', '1 Stove', '6 Light', '1 Chimney', '2 AC', '1 Curtains', '1 Modular Kitchen', '1 TV', '2 Wardrobe', '2 Bed', '1 Sofa', '1 Washing Machine', 'No Dining Table', 'No Microwave']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Club,Main Road,Others,Sea facing"
"2 BHK Flat in Sanjeev Nagar, Bhopal",RIPL Maple Tree,₹33 Lac,"₹3,038 /sqft",Ready To Move,Luxurious 2 bhk apartment with all the modern amenities,"Super Built up area 1086
(100.89 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 33 Lac+ Govt Charges & Tax
@ 3,038 per sq.ft. View Price Details","RIPL Maple Tree
Sanjeev Nagar, Bhopal",5th   of 7 Floors,East,5 to 10 Year Old,"['2 Wardrobe', '2 Bed', '1 Water Purifier', '4 Fan', '1 Sofa', '1 Exhaust Fan', '1 Geyser', '8 Light', '1 Curtains', '1 AC', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Club,Main Road"
"3 BHK Flat in Sanjeev Nagar, Bhopal",RIPL Maple Tree,₹45 Lac,"₹2,830 /sqft",Ready To Move,"Check out this 3 bhk apartment for sale in ripl maple tree, a popular residential project that houses in-Demand flats in sanjeev nagar, bhopal. The flat is over 1590 sq.Ft. Built up area and comes with 3 bedroom(s), 2 bathrooms and 1 balcony. The property is located on the 4th floor of a 7 floors tall building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The society is well equipped with many modern amenities, including swimming pool, fitness centre / gym, park, cctv surveillance and lift(s).","Built Up area: 1590
(147.72 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony with Others","₹ 45 Lac+ Govt Charges & Tax
@ 2,830 per sq.ft. (Negotiable) View Price Details","RIPL Maple Tree
Sanjeev Nagar, Bhopal",4th   of 7 Floors,,1 to 5 Year Old,"['5 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Sivoy, Bhopal",Mirchandani Shalimar Campus,₹42 Lac,"₹3,230 /sqft",Ready To Move,It has 3 bedrooms 2 bathrooms and 3 balconies in the prime area of bhopal. The kitchen is modular with sliding trolley and each room has wooden work. The storage space is enough in rooms and kitchen. It has well spaced hall and dining area. This property in the campus is having some unique extra entrance space which makes a difference from other flats in the society and the floor is also spacious. It has a newly upgraded lift and enough space for parking 2-3 four wheelers and 3-4 two wheelers. This campus is very secure and guarded 24/7.,"Super Built up area 1300
(120.77 sq.m.)
Carpet area: 875 sq.ft. (81.29 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 42 Lac+ Govt Charges & Tax
@ 3,230 per sq.ft. (All inclusive, Negotiable)","Mirchandani Shalimar Campus
Sivoy, Bhopal",2nd   of 3 Floors,West,10+ Year Old,"['5 Fan', '1 Exhaust Fan', '2 Geyser', '10 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity']",[],Park/Garden
"3 BHK Flat in Hoshangabad Road, Bhopal",Lakhumal Nikhil Nestles,₹50 Lac,"₹3,076 /sqft",Ready To Move,"Covered campus, semi furnished, moduler kitchen, shiv temple infront of building, garden facing","Super Built up area 1625
(150.97 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies with Pooja Room,Study Room","₹ 50 Lac+ Govt Charges & Tax
@ 3,076 per sq.ft. (Negotiable)","Lakhumal Nikhil Nestles
Hoshangabad Road, Bhopal",6th   of 6 Floors,North,5 to 10 Year Old,"['1 Wardrobe', '1 Water Purifier', '1 Fan', '1 Sofa', '1 Geyser', '1 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Club"
"3 BHK Flat in Karond, Bhopal",Surya Plaza,₹35 Lac,"₹3,500 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in surya plaza, karond, bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 1000 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 3,500 per sq.ft.","Surya Plaza
Karond, Bhopal",1st   of 3 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Dam Kheda, Bhopal",saikripa apartment mandakini colony kolar road,₹38 Lac,"₹3,830 /sqft",Ready To Move,"Well connected to the main road,all facilities like( Hospital, gym,grocery shop,banks, movie theater, branded out lets pizza hut, dominos, belzium buffle, vishal mega mart, indian cafe house, baapu ki kutitya, bata, khadim etc and many more) are available within 5min of reach. J.K hospital , maruti service centre, tvs, honda, hyundai are also very near.Bhoj university is also just within 400m distance.Property is located very much at the prime place where, it is very much demanded for rent to students, doctors, nurses.","Built Up area: 992
(92.16 sq.m.)
Carpet area: 694 sq.ft. (64.47 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 38 Lac+ Govt Charges & Tax
@ 3,830 per sq.ft. (Negotiable) View Price Details","saikripa apartment mandakini colony kolar road
Dam Kheda, Bhopal",2nd   of 3 Floors,East,10+ Year Old,"['3 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Stove', '8 Light', '1 TV', '1 Modular Kitchen', '1 Curtains', '2 Bed', '4 Wardrobe', 'No AC', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Sofa', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors']",[],"Park/Garden,Main Road,Others"
