pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Possession in,furnishing,features,ratings,Overlooking,Property Age
"2 BHK Flat in Katara Hills, Bhopal",Fortune Atlantis Phase II,₹25 Lac,"₹3,655 /sqft",Ready To Move,"This beautiful 2 bhk flat in katara hills, bhopal is situated in fortune atlantis phase ii, one of the popular residential society in bhopal. This is a west-Facing property. The floor plan additionally contains 2 bedroom(s), 1 bathroom and 1 balcony. All in all, the flat is spread over a built up area of 684 sq.Ft. The flat has a total of 1 floor and this property is situated on top floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.","Built Up area: 684
(63.55 sq.m.)
Carpet area: 489 sq.ft. (45.43 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 25 Lac
@ 3,655 per sq.ft. View Price Details","Fortune Atlantis Phase II
Katara Hills, Bhopal",1st   of 1 Floors,West,undefined,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"1 BHK Flat in Bawadia Kalan, Bhopal",Sagar Life Style Towers,₹16 Lac,"₹3,555 /sqft",Ready To Move,"I'm reaching out to share an exciting opportunity regarding a property located in a highly sought-After and prestigious area. This property not only boasts an excellent location and posh surroundings but also includes a lifetime membership to a private swimming pool and club, offering unmatched lifestyle benefits.","Carpet area: 450
(41.81 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 16 Lac
@ 3,555 per sq.ft. (All inclusive, Negotiable)","Sagar Life Style Towers
Bawadia Kalan, Bhopal",5th   of 6 Floors,East,,"['2 Bed', '1 Wardrobe', '2 Fan', '1 Exhaust Fan', '4 Light', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",1 to 5 Year Old    View Construction Status
"1 BHK Flat in Katara Hills, Bhopal",BDA Swami Vivekanand Parisar,₹11.5 Lac,"₹2,300 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in bda swami vivekanand parisar, katara hills, bhopal. This it is a and the unit is located on 4th floor and has a carpet area of 500 sq.Ft. . It has 1 bathroom(s). The ownership is freehold type.","Carpet area: 500
(46.45 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 11.5 Lac
@ 2,300 per sq.ft.","BDA Swami Vivekanand Parisar
Katara Hills, Bhopal",4th   of 4 Floors,,,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"3 BHK Flat in Kolar Road, Bhopal",Windsor Aralia,₹50 Lac,"₹2,976 /sqft",Ready To Move,Fully furnished flat at prime location,"Super Built up area 1680
(156.08 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 50 Lac
@ 2,976 per sq.ft. (All inclusive, Negotiable)","Windsor Aralia
Kolar Road, Bhopal",2nd   of 6 Floors,,,"['1 Bed', '1 Wardrobe', '1 Sofa', '1 AC', '1 Modular Kitchen', '1 Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,5 to 10 Year Old
"2 BHK Flat in Ayodhya Bypass , Bhopal",Agrawal Sagar Lakeview Homes,₹36 Lac,"₹3,333 /sqft",Ready To Move,"Agrawal sagar lakeview homes is one of bhopal's most sought after destination for apartments and this 2 bhk flat in ayodhya bypass is your opportunity to be a part of this community. The floor plan additionally contains 2 bedroom(s), 2 bathrooms . All in all, the flat is spread over a built up area of 1080 sq.Ft. This flat is situated on the 4th floor of this 5 floors tall residential building. This 0-1 year old property is available for immediate possession as the project is ready to move.","Built Up area: 1080
(100.34 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 36 Lac
@ 3,333 per sq.ft.","Agrawal Sagar Lakeview Homes
Ayodhya Bypass , Bhopal",4th   of 5 Floors,,undefined,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 BHK Flat in Bagmugaliya, Bhopal",Sri Mitra Spring Valley,₹51.25 Lac,"₹3,428 /sqft",Ready To Move,"This 4 bhk apartment is available for sale in sri mitra spring valley, one of the most prominent projects for flats in bagmugaliya, bhopal. The flat is over 2050 sq.Ft. Super built up area and comes with 4 bedroom(s), 3 bathrooms . The residential building has 3 floors in total and the flat for sale is located on the 2nd floor. This 0-1 year old property is available for immediate possession as the project is ready to move.","Built Up area: 1495
(138.89 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, No Balcony","₹ 51.25 Lac
@ 3,428 per sq.ft.","Sri Mitra Spring Valley
Bagmugaliya, Bhopal",2nd   of 3 Floors,,undefined,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Harshavardhan Nagar, Bhopal",Surbhi Tower,₹40 Lac,"₹4,705 /sqft",Ready To Move,"This 3bhk flat is in a very prime location in harshwardhan nagar with just 2 min walk from mata mandir square and manit college bhopal. Flat is spacious and well ventilated with sunlight and air with 2 balconies facing east. Flat is on the 1st floor, 3 bhk with 2 washrooms and 2 balconies. Society is well maintained with covered parking and terrace open to all.","Built Up area: 850
(78.97 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 40 Lac+ Govt Charges & Tax
@ 4,705 per sq.ft.","Surbhi Tower
Harshavardhan Nagar, Bhopal",1st   of 3 Floors,,,[],"['Private Garden / Terrace', 'Natural Light', 'Airy Rooms', 'Spacious Interiors']",[],,10+ Year Old
"3 BHK Flat in Ayodhya Bypass , Bhopal",Agrawal Sagar Lakeview Homes,₹45 Lac,"₹3,214 /sqft",Ready To Move,3 bhk semi furnished flat for sale ayodhya by pass bhopal Corner property Whit terris Area 1527 sqft,"Carpet area: 1400
(130.06 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies with Pooja Room","₹ 45 Lac
@ 3,214 per sq.ft.","Agrawal Sagar Lakeview Homes
Ayodhya Bypass , Bhopal",5th   of 6 Floors,East,,"['4 Fan', '6 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Club,Park/Garden,Others",1 to 5 Year Old
"2 BHK Flat in Bawadia Kalan, Bhopal",Parke Serene,₹22 Lac,"₹2,588 /sqft",Ready To Move,"Parke serene is one of bhopal's most sought after destination for apartments and this 2 bhk flat in bawadia kalan is your opportunity to be a part of this community. This residential flat is east-Facing direction. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a built up area of 850 sq.Ft. The flat has a total of 4 floors and this property is situated on top floor. As the project is already ready to move, so you can easily move into this 0-1 year old property.","Built Up area: 850
(78.97 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 22 Lac
@ 2,588 per sq.ft.","Parke Serene
Bawadia Kalan, Bhopal",4th   of 4 Floors,East,undefined,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Hoshangabad Road, Bhopal",Ruchi Lifescapes,₹35 Lac,"₹2,397 /sqft",Ready To Move,"This 3 bhk apartment is available for sale in ruchi lifescapes, one of the most prominent projects for flats in hoshangabad road, bhopal. The flat is facing the east direction. Constructed on a built up area of 1460 sq.Ft., the flat comprises 3 bedroom(s), 2 bathrooms . This flat lies on the 4th level of a 6 storey building. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move.","Built Up area: 1460
(135.64 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 35 Lac
@ 2,397 per sq.ft.","Ruchi Lifescapes
Hoshangabad Road, Bhopal",4th   of 6 Floors,East,undefined,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
