pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Overlooking,Possession in,furnishing,features,ratings,Property Age,Facing
"2 BHK Flat in Ayodhya Bypass , Bhopal",Amaltas Westminster,₹25 Lac,"₹6,250 /sqft",Under Construction,"The property is located at a premium location with all the amenities like gym, swimming pool, jogging track available. School, hospital, and mall is located at the nearest and railway station is just 6km away, the property is surrounded by premiere residency like people's highrise, coral casa and premiere orchard.","Built Up area: 430
(39.95 sq.m.)
Carpet area: 400 sq.ft. (37.16 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 25 Lac+ Govt Charges & Tax
@ 6,250 per sq.ft. (Negotiable)","Amaltas Westminster
Ayodhya Bypass , Bhopal",7th   of 8 Floors,"Pool,Club,Park/Garden",Within 6 months    View Construction Status,[],"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Coach Factory, Bhopal",harisiddhi apartment s2,₹26 Lac,"₹3,933 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in harisiddhi apartment s2, coach factory, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 661 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 661
(61.41 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 26 Lac
@ 3,933 per sq.ft.","harisiddhi apartment s2
Coach Factory, Bhopal",2nd   of 4 Floors,,,[],[],[],10+ Year Old,
"4 BHK Flat in Misrod, Bhopal",Globus Coral Woods,₹93 Lac,"₹4,823 /sqft",Ready To Move,"Globus coral woods is one of the most popular destination for buying apartments/ flats in misrod, bhopal. You too can be a part of this society by purchasing this 4 bhk flat here. Constructed on a super built up area of 1928 sq.Ft., the flat comprises 4 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the top level of a 6 storey building. As the project is already ready to move, so you can easily move into this 5-10 years old property. Moreover, this property offers close proximity to important landmarks such as close to hospital, close to market, close to railway station and close to mall. Globus coral woods is designed very well to provide modern facilities such as swimming pool, fitness centre / gym, park, lift(s), maintenance staff and visitor parking. The project provides a continuous supply of water to its flats.","Super Built up area 1928
(179.12 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 93 Lac+ Govt Charges & Tax
@ 4,823 per sq.ft. (Negotiable) View Price Details","Globus Coral Woods
Misrod, Bhopal",6th   of 6 Floors,Pool,,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', '4 Light', '4 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old    View Construction Status,
"1 BHK Flat in Bairagarh Chichali, Bhopal",Gaurav Nagar Bairagarh Chichli Kolar,₹9.5 Lac,"₹2,695 /sqft",Ready To Move,"Best for single family ,good locality , wide roads and good space for parking area to park 4 vehicles easily","Carpet area: 352.41
(32.74 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 9.5 Lac+ Govt Charges & Tax
@ 2,695 per sq.ft. (All inclusive, Negotiable)","Gaurav Nagar Bairagarh Chichli Kolar
Bairagarh Chichali, Bhopal",1st   of 3 Floors,Main Road,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,
"3 BHK Flat in Hoshangabad Road, Bhopal",Shriram NIPS,₹34 Lac,"₹3,400 /sqft",Ready To Move,Urgent sale karna hai flat 2023 mai liya hai,"Built Up area: 1250
(116.13 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 34 Lac
@ 3,400 per sq.ft.","Shriram NIPS
Hoshangabad Road, Bhopal",2nd   of 4 Floors,"Park/Garden,Main Road,Others,Sea facing",,[],"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",0 to 1 Year Old,
"2 BHK Flat in Gurunanak Pura, Bhopal",Bhagwan Enclave Phase 2,₹30 Lac,"₹6,000 /sqft",Ready To Move,2 bhk house in good locality and centre point of bhopal where all things including medical and all groceries are available nearby,"Carpet area: 500
(46.45 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 30 Lac+ Govt Charges & Tax
@ 6,000 per sq.ft. (All inclusive)","Bhagwan Enclave Phase 2
Gurunanak Pura, Bhopal",3rd   of 3 Floors,Main Road,,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],[],10+ Year Old,East
"3 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹23 Lac,"₹2,346 /sqft",Ready To Move,Flat for sale Ibd hallmark city Kolar near mother teresa school 3 bhk ground floor Well maintained West facing,"Built Up area: 1250
(116.13 sq.m.)
Carpet area: 980 sq.ft. (91.04 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 23 Lac
@ 2,346 per sq.ft. (Negotiable)","IBD Hallmark Citii
Mahawadiya, Bhopal",Ground of 4 Floors,,,[],"['Feng Shui / Vaastu Compliant', 'Park', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",10+ Year Old,
"3 BHK Flat in Airport Road, Bhopal",Satya Prakash Nice Space,₹45 Lac,"₹2,844 /sqft",Ready To Move,"Property is situated opposite to podar world school. It is having garden area, swimming pool, club house, function separate areas","Super Built up area 1582
(146.97 sq.m.)
Built Up area: 1130 sq.ft. (104.98 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 45 Lac
@ 2,844 per sq.ft. (All inclusive)","Satya Prakash Nice Space
Airport Road, Bhopal",6th   of 8 Floors,Park/Garden,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",1 to 5 Year Old,
"2 BHK Flat in Saket Nagar, Bhopal",BDA Complex,₹30 Lac,"₹3,000 /sqft",Ready To Move,"Address is: 68a bda complex, sector 9a, saket nagar, mp. This is a 2 bed, 2 bath flat. Should be app.1000 sft. All fittings in there...Built in wood closets, fittings, etc.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 30 Lac+ Govt Charges & Tax
@ 3,000 per sq.ft. (All inclusive, Negotiable)","BDA Complex
Saket Nagar, Bhopal",2nd   of 4 Floors,Park/Garden,,"['2 Wardrobe', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '5 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Park', 'Visitor Parking', 'Shopping Centre']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",10+ Year Old,
"3 BHK Flat in Danish Nagar, Bhopal",Unique Residency,₹60 Lac,"₹4,395 /sqft",Ready To Move,Vastu compliant east facing flat situated at first floor.1 bedroom balcony is main road facing and other bedroom balcony is garden facing. Reserved coverd 4 wheeler parking,"Super Built up area 1365
(126.81 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 60 Lac+ Govt Charges & Tax
@ 4,395 per sq.ft.","Unique Residency
Danish Nagar, Bhopal",1st   of 4 Floors,"Main Road,Park/Garden",,[],"['Lift(s)', 'Park', 'Visitor Parking', 'Security Personnel']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",5 to 10 Year Old,East
