pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"1 BHK Flat in Awadhpuri, Bhopal",pink homes,₹14 Lac,"₹3,500 /sqft",Ready To Move,Residential apartment for sell.The property has 1 bedroom with 1 bathroom .It is a unfurnished property.Located in awadhpuri.Available at an expected price of rs 1400000.Located on ground floor out of the 3 the property comes with a good construction quality which ages 1-5 years old property near market bus stop . Can be used for commercial use,"Super Built up area 400
(37.16 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, No Balcony","₹ 14 Lac
@ 3,500 per sq.ft.","pink homes
Awadhpuri, Bhopal",Ground of 3 Floors,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 BHK Flat in Kolar Road, Bhopal",Ultimate Campus,₹35 Lac,"₹2,333 /sqft",Ready To Move,"Urgent sale corner flat in covered campus. Hospitals: 1 km, airport: 18 kms, atm : 1 kms, railway station : 5 kms, school: 1 kms, shopping mall : 1 kms","Carpet area: 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 35 Lac
@ 2,333 per sq.ft. (Negotiable)","Ultimate Campus
Kolar Road, Bhopal",4th   of 4 Floors,5 to 10 Year Old,[],"['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Park', 'Security Personnel', 'Airy Rooms', 'Shopping Centre', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Park/Garden,Main Road",
"2 BHK Flat in Patel Nagar, Bhopal",Archana Balaji Towers,₹20 Lac,"₹2,928 /sqft",Ready To Move,"This 2 bhk flat is available for sale in archana balaji towers, one of the most prominent projects for residential apartments in kolar road, bhopal. The flat is over super built up area of 683 sq.Ft. And comes with 2 bathrooms and 2 balconies. This flat is situated on the 3rd floor of this 4 floor tall residential building. An added advantage of this 5-10 year(s) old apartment is that it is available for immediate possession as the project is already ready to move.","Super Built up area 683
(63.45 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 20 Lac
@ 2,928 per sq.ft.","Archana Balaji Towers
Patel Nagar, Bhopal",3rd   of 4 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 BHK Flat in Kolar Road, Bhopal",Sai Deep Apartment,₹22 Lac,"₹2,625 /sqft",Ready To Move,Urgent residential apartment for sell. (On benazir college 80 ft road) Located on kolar road behind lotus hospital. 2 bedrooms with 2 bathrooms. Gated entry wih cctv cameras.,"Super Built up area 800
(74.32 sq.m.)
Built Up area: 725 sq.ft. (67.35 sq.m.)
Carpet area: 650 sq.ft. (60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 22 Lac
@ 2,625 per sq.ft. (Negotiable) View Price Details","Sai Deep Apartment
Kolar Road, Bhopal",3rd   of 4 Floors,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Water Storage', 'Recently Renovated', 'Natural Light', 'Airy Rooms', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,"Park/Garden,Main Road",
"3 BHK Flat in Hoshangabad Road, Bhopal",Aryavrat British Park,₹55 Lac,"₹3,543 /sqft",Ready To Move,Ready to move. No one lived so far after taking handover. Branded new property first hand.,"Super Built up area 1690
(157.01 sq.m.)
Built Up area: 1286 sq.ft. (119.47 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 55 Lac
@ 3,543 per sq.ft. (Negotiable)","Aryavrat British Park
Hoshangabad Road, Bhopal",9th   of 11 Floors,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"1 BHK Flat in Sonagiri, Bhopal",century apartment songri,₹14.5 Lac,₹223 /sqft,Ready To Move,Payment only case because faniance is not possible,"Carpet area: 6500
(603.87 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 14.5 Lac
@ 223 per sq.ft.","century apartment songri
Sonagiri, Bhopal",3rd   of 3 Floors,10+ Year Old,"['1 Wardrobe', '2 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 BHK Flat in Malviya Nagar, Bhopal",Jeevan Sagar Apartment,₹50 Lac,"₹6,666 /sqft",Ready To Move,"A 2 bhk flat ideal for small family/ commercial use/ students located at the prime location of malviya nagar, in the heart of bhopal is available. Aesthetically designed, the property has built in wardrobes, store room, pooja room, surrounded by posh commercial establishments. Location is the unique factor of the property. 1 km from new market, infront of raj bhawan due to which electricity power cuts hardly happen. Walk-In distance from birla mandir, raj bhawan, new market, hospital nearby, gym e.T.C. Fully maintained property and ready to move equipped with wardrobes, study table, bed e.T.C.","Built Up area: 750
(69.68 sq.m.)
Carpet area: 650 sq.ft. (60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room,Others","₹ 50 Lac+ Govt Charges & Tax
@ 6,666 per sq.ft. (All inclusive, Negotiable)","Jeevan Sagar Apartment
Malviya Nagar, Bhopal",1st   of 3 Floors,10+ Year Old,"['1 Bed', '5 Wardrobe', '8 Fan', '3 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Feng Shui / Vaastu Compliant'],[],East,,
"3 BHK Flat in Misrod, Bhopal",Fourtune Divin City,₹41 Lac,"₹4,505 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in fortune divine city phase ii, misrod, . This semi-Furnished apartment is a 1-5 year old, priced approximately at rs. 4505per sq. Ft. Or rs. 41 lakhs. It is a resale and a ready to move in apartment. The unit is located on the 4th floor and has a super built-Up area of 910. 0 sq. Ft. It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type. The apartment has 1 covered parking.","Super Built up area 910
(84.54 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 41 Lac+ Govt Charges & Tax
@ 4,505 per sq.ft.","Fourtune Divin City
Misrod, Bhopal",4th   of 6 Floors,1 to 5 Year Old,"['2 Wardrobe', '4 Fan', '1 Exhaust Fan', '8 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 BHK Flat in Katara Hills, Bhopal",Amaltas Hill view society,₹25.5 Lac,"₹2,931 /sqft",Ready To Move,"Property at prime location with covered parking, lift, security guard below is the sbi atm and shopping center. Presently property is on monthly rent of rs 7000/-. Property is free hold & owner shifted to panchkula, my mobile no. (Nine double eight double two zero nine eight five four)","Super Built up area 925
(85.94 sq.m.)
Built Up area: 870 sq.ft. (80.83 sq.m.)
Carpet area: 700 sq.ft. (65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 25.5 Lac+ Govt Charges & Tax
@ 2,931 per sq.ft. (All inclusive)","Amaltas Hill view society
Katara Hills, Bhopal",3rd   of 3 Floors,5 to 10 Year Old,"['2 Bed', '3 Wardrobe', '3 Fan', '1 Sofa', '1 Dining Table', '5 Light', '1 Curtains', 'No AC', 'No Chimney', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Shopping Centre', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North-West,Main Road,
"2 BHK Flat in Mandideep, Bhopal",Indus Realty,₹15 Lac,"₹1,428 /sqft",Ready To Move,"Good property at the starting of mandideep. On ground floor. Facing play ground. Separate and dedicated parking facility. 24 hrs security. Ample parking space for visitors. Children play area. 24 hrs water and electricity. Close to market, hospital, schools, major factories and station is also nearby. Near eicher tractors and crompton greaves.","Super Built up area 1050
(97.55 sq.m.)
Built Up area: 950 sq.ft. (88.26 sq.m.)
Carpet area: 650 sq.ft. (60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 15 Lac
@ 1,428 per sq.ft.","Indus Realty
Mandideep, Bhopal",Ground of 5 Floors,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Visitor Parking', 'Park', 'Security Personnel', 'Maintenance Staff']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
