pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Property Age,furnishing,features,ratings,Overlooking,Possession in
"2 BHK Flat in Sant Asharam Nagar Phase 2, Bhopal",KUNDAN NAGAR,₹25 Lac,"₹3,846 /sqft",Ready To Move,"Kundan nagar is one of bhopal's most sought after destination for apartments and this 2 bhk flat in sant asharam nagar phase 2 is your opportunity to be a part of this community. The flat is north-Facing. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 650 sq.Ft. The residential building has 2 floors in total and the flat for sale is located on the top floor. An added advantage of this 10+ years old flat is that it is available for immediate possession as the project is already ready to move. The beautifully designed vitrified flooring enhances the beauty of the flat. Another plus point for this is that it is situated near close to market, close to school and close to hospital. Kundan nagar is designed very well to provide modern facilities such as fitness centre / gym, club house / community center, park, shopping centre, lift(s), security personnel, maintenance staff and water softening plant. You enjoy a 24*7 access to water in your flat.","Carpet area: 650
(60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 3,846 per sq.ft. View Price Details","KUNDAN NAGAR
Sant Asharam Nagar Phase 2, Bhopal",2nd   of 2 Floors,North,10+ Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Park', 'Piped-gas', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']",[],,
"3 BHK Flat in Bawadia Kalan, Bhopal",Vishnu Hitech City,₹44 Lac,"₹3,666 /sqft",Ready To Move,"Vishnu hitech city is one of the most popular destination for buying apartments/ flats in bawadia kalan, bhopal. You too can be a part of this society by purchasing this 3 bhk flat here. This is a north-Facing property. The flat occupies a super built up area of 1200 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 1 balcony. The property is located on the 4th floor of a 6 floors tall building. This 10+ years old property is available for immediate possession as the project is ready to move. The well built vitrified flooring enhances the aesthetic appeal of this flat. This flat is located near close to market, close to school and close to hospital. The flat will offer a modern lifestyle as it is presented with many of the amenities such as fitness centre / gym, club house / community center, park, shopping centre, lift(s), security personnel, maintenance staff, water softening plant and visitor parking. You enjoy a 24*7 access to water in your flat.","Super Built up area 1200
(111.48 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 44 Lac
@ 3,666 per sq.ft. (Negotiable) View Price Details","Vishnu Hitech City
Bawadia Kalan, Bhopal",4th   of 6 Floors,North,10+ Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"2 BHK Flat in Katara Hills, Bhopal",Sterling Pride City,₹18.5 Lac,"₹2,275 /sqft",Ready To Move,"Property description: - Its a residential flat Super built-Up area 813 sq.Ft. Selling price- 18.50 lac. Accommodation 2 bedroom, hall, kitchen, 2 balcony Toilets 2 toilet (1 attached) Floor 2nd floor Furnishing status un-Furnished Feature covered campus, club house, garden, Aiims bhopal 6 km Ashima mall 7 km Rani kamlapati railway station 8.5 km Brokerage percentage 2% Location pride city Locality katara hills Property code -25 Loan facility available Note: For more properties you can see our whatsapp catalogue","Super Built up area 813
(75.53 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 18.5 Lac
@ 2,275 per sq.ft. View Price Details","Sterling Pride City
Katara Hills, Bhopal",4th   of 6 Floors,North,10+ Year Old    View Construction Status,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹21 Lac,"₹1,953 /sqft",Ready To Move,"Property description: - Its a residential flat Super built-Up area 1075 sq.Ft. Carpet area 764 sq.Ft. Selling price- 21 lac. Accommodation 3 bedroom, d/d, kitchen Toilets 2 toilet Floor 3rd floor (Top floor) ( Without lift facility) Furnishing status semi-Furnished Mother teresa school -2 km J.K. Hospital 8.8 km D-Mart kolar -5.4 km Rani kamlapati railway station 14.7 km Isbt bus stand -14.7 km Brokerage percentage 2% Loan facility available Location ibd hallmark city Locality kolar road Property code -176 Note: For more properties you can see our whatsapp catalogue","Super Built up area 1075
(99.87 sq.m.)
Carpet area: 764 sq.ft. (70.98 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony
View Floor Plan","₹ 21 Lac
@ 1,953 per sq.ft. View Price Details","IBD Hallmark Citii
Mahawadiya, Bhopal",3rd   of 3 Floors,North,10+ Year Old,"['1 Bed', '1 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",Main Road,
"2 BHK Flat in Katara, Bhopal",Spring Valley,₹19 Lac,"₹2,533 /sqft",Ready To Move,"Property description: - Its a residential flat Super built-Up area 750 Selling price- 19 lac. Accommodation 2 bedroom, d/d, kitchen, 1 balcony Toilets 2 toilet (1 attached) Floor 1st floor Furnishing status modular kitchen Feature covered campus, garden, campus on city bus route, Aiims bhopal 5.5 km Ashima mall 7 km Rani kamlapati railway station 8.5 km Brokerage percentage 2% Location spring valley Locality katara hills Property code -18 Loan facility available Note: For more properties you can see our whatsapp catalogue","Super Built up area 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 19 Lac
@ 2,533 per sq.ft. View Price Details","Spring Valley
Katara, Bhopal",1st   of 2 Floors,North,10+ Year Old,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Visitor Parking'],[],Others,
"3 BHK Flat in Kolar Road, Bhopal",Aadhhaar Symphony,₹42 Lac,"₹2,470 /sqft",Ready To Move,"Property description: - Its a residential flat Super built-Up area 1700 sq.Ft. Selling price- 42 lac. Accommodation 3 bedroom, d/d, kitchen , 3 balcony , Toilets 3 toilet Floor 5th & 7th floor Furnishing status un-Furnished J.K. Hospital 7.8 km D-Mart kolar -4.3 km Rani kamlapati railway station 13.6 km Isbt bus stand -13.6 km Brokerage percentage 2% Location aadhar symphony Locality kolar road Property code -172 Note: For more properties you can see our whatsapp catalogue","Super Built up area 1700
(157.94 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 42 Lac+ Govt Charges & Tax
@ 2,470 per sq.ft. (All inclusive) View Price Details","Aadhhaar Symphony
Kolar Road, Bhopal",5th   of 10 Floors,,1 to 5 Year Old,[],"['Lift(s)', 'Park', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Others,
"3 BHK Flat in Hoshangabad Road, Bhopal",Aashima Royal City,₹43 Lac,"₹2,965 /sqft",Ready To Move,"Property description: - Its a residential flat Super built-Up area 1450 sq.Ft. Selling price- 43 lac. Accommodation 3 bedroom, d/d, kitchen, 1 balcony Toilets 2 toilet (1 attached) Floor 5th floor Furnishing status un-Furnished , alloted car parking Feature covered campus Brokerage percentage 2% Location ashima royal city Locality bagmugaliya Property code -75 Note: For more properties you can see our whatsapp catalogue","Super Built up area 1450
(134.71 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 43 Lac
@ 2,965 per sq.ft. View Price Details","Aashima Royal City
Hoshangabad Road, Bhopal",5th   of 6 Floors,North,1 to 5 Year Old,[],"['Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",Others,
"2 BHK Flat in Hoshangabad Road, Bhopal",Fortune Kasturi,₹35 Lac,"₹3,089 /sqft",Ready To Move,"Property description: - Its a residential flat Super built-Up area 1150 sq.Ft. Selling price- 35 lac. Accommodation 2 bedroom, d/d, kitchen , 2 balcony Toilets 2 toilet Floor 2nd floor Furnishing status semi-Furnished Feature covered campus Shani mandir 2 km Noble hospital -3.3 km Capital mall 3 km D-Mart -3.6 km Rani kamlapati railway station 8 km Isbt bus stand -8 km Brokerage percentage 2% Location fortune kasturi Locality jatkhedi ,hoshangabad road Property code -115 Note: For more properties you can see our whatsapp catalogue","Super Built up area 1133
(105.26 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 35 Lac
@ 3,089 per sq.ft. View Price Details","Fortune Kasturi
Hoshangabad Road, Bhopal",2nd   of 6 Floors,North,5 to 10 Year Old    View Construction Status,"['2 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Mahawadiya, Bhopal",IBD Hallmark Citii,₹17 Lac,"₹2,165 /sqft",Ready To Move,"Property description: - Its a residential flat Super built-Up area 785 sq.Ft. Carpet area 545 sq.Ft. Selling price- 17 lac. Accommodation 2 bedroom, d/d, kitchen Toilets 2 toilet Floor 2nd floor ( With lift facility) Furnishing status un-Furnished Mother teresa school -2 km J.K. Hospital 8.8 km D-Mart kolar -5.4 km Rani kamlapati railway station 14.7 km Isbt bus stand -14.7 km Brokerage percentage 2% Location ibd hallmark city Locality kolar road Property code -178 Note: For more properties you can see our whatsapp catalogue","Super Built up area 785
(72.93 sq.m.)
Carpet area: 545 sq.ft. (50.63 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 17 Lac+ Govt Charges & Tax
@ 2,165 per sq.ft. (All inclusive) View Price Details","IBD Hallmark Citii
Mahawadiya, Bhopal",Ground of 6 Floors,North,5 to 10 Year Old,[],"['Lift(s)', 'Park', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",Others,
"3 BHK Flat in Salaiya, Bhopal",Shiva Whispering Woods,₹40 Lac,"₹2,962 /sqft",Ready To Move,"Property description: - Its a residential flat Super built-Up area 1350 sq.Ft. Carpet area 950 sq.Ft. Selling price- 40 lac. Accommodation 3 bedroom, d/d, kitchen , 2 balcony , Toilets 2 toilet Floor 3rd floor Furnishing status un-Furnished Feature covered campus , reserved car parking Amenities jogging track , covered campus , garden , temple J.K. Hospital 4.3 km Bansal hospital 4.6 km Aura mall 4.3 km D-Mart -3.5 km Rani kamlapati railway station 8 km Isbt bus stand -8 km Brokerage percentage 2% Loan facility available Location shiva whispering woods Locality salaiya Property code -151 Note: For more properties you can see our whatsapp catalogue","Super Built up area 1350
(125.42 sq.m.)
Carpet area: 950 sq.ft. (88.26 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 40 Lac
@ 2,962 per sq.ft. View Price Details","Shiva Whispering Woods
Salaiya, Bhopal",3rd   of 6 Floors,North,1 to 5 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
