pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"3 BHK Flat in Salaiya, Bhopal",Ville Panache,₹62.5 Lac,"₹5,841 /sqft",Ready To Move,It's a very peaceful elegant but very well connected and in a very prime area,"Built Up area: 1496
(138.98 sq.m.)
Carpet area: 1070 sq.ft. (99.41 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies with Others","₹ 62.5 Lac+ Govt Charges & Tax
@ 5,841 per sq.ft. (Negotiable) View Price Details","Ville Panache
Salaiya, Bhopal",6th   of 6 Floors,East,"Pool,Park/Garden,Club",5 to 10 Year Old    View Construction Status,"['1 Water Purifier', '5 Fan', '1 Fridge', '1 Dining Table', '1 Geyser', '30 Light', '3 AC', '1 TV', '1 Modular Kitchen', '3 Bed', '5 Wardrobe', 'No Chimney', 'No Curtains', 'No Exhaust Fan', 'No Microwave', 'No Sofa', 'No Stove', 'No Washing Machine']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Shahjahanabad, Bhopal",Malik apartment,₹15 Lac,"₹2,727 /sqft",Ready To Move,Spacious rooms with proper ventilation but it does not have 4 wheeler parking,"Carpet area: 550
(51.1 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony","₹ 15 Lac
@ 2,727 per sq.ft. (Negotiable)","Malik apartment
Shahjahanabad, Bhopal",1st   of 3 Floors,East,Main Road,5 to 10 Year Old,[],"['Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Misrod, Bhopal",Fortune Soumya Heritage,₹25.5 Lac,"₹2,712 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in fortune soumya heritage, misrod, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 940 sq.Ft. . It has 2 bathroom(s). The ownership is leasehold type.","Super Built up area 940
(87.33 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 25.5 Lac
@ 2,712 per sq.ft.","Fortune Soumya Heritage
Misrod, Bhopal",2nd   of 6 Floors,,,5 to 10 Year Old    View Construction Status,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Salaiya, Bhopal",IBD Royal City,₹35 Lac,"₹3,043 /sqft",Ready To Move,"This lovely 3 bhk apartment/flat in salaiya is available for sale in one of bhopal's most popular projects, ibd royal city. The flat occupies a built up area of 1150 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 2 balconies. The residential building has 6 floors in total and the flat for sale is located on the 5th floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.","Built Up area: 1150
(106.84 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 35 Lac
@ 3,043 per sq.ft.","IBD Royal City
Salaiya, Bhopal",5th   of 6 Floors,,,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",undefined
"3 BHK Flat in Salaiya, Bhopal",Shiva Whispering Woods,₹45 Lac,"₹4,245 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in shiva whispering woods, salaiya, bhopal. This it is a and the unit is located on 4th floor and has a super built-Up area of 1060 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 1060
(98.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, No Balcony","₹ 45 Lac
@ 4,245 per sq.ft.","Shiva Whispering Woods
Salaiya, Bhopal",4th   of 6 Floors,,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Airport Road, Bhopal",Nirman Sudhas Parn Kuti Parisar,₹30 Lac,"₹4,000 /sqft",Ready To Move,Our flat is fully renovated ..Can see first..Then decide,"Carpet area: 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 3 Balconies","₹ 30 Lac
@ 4,000 per sq.ft.","Nirman Sudhas Parn Kuti Parisar
Airport Road, Bhopal",2nd   of 2 Floors,,,5 to 10 Year Old,[],['Park'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in Salaiya, Bhopal",Garnet block,₹30 Lac,"₹2,429 /sqft",Ready To Move,3 bhopal flat ground floor @30lacs at bhopal,"Carpet area: 1235
(114.74 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac+ Govt Charges & Tax
@ 2,429 per sq.ft. (All inclusive, Negotiable)","Garnet block
Salaiya, Bhopal",Ground of 1 Floors,East,Park/Garden,1 to 5 Year Old,[],"['Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Khajuri Kalan , Bhopal",Shivlok Phase III,₹10 Lac,"₹2,857 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in , khajuri kalan , bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 350 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 350
(32.52 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 10 Lac
@ 2,857 per sq.ft.","Shivlok Phase III
Khajuri Kalan , Bhopal",1st   of 4 Floors,East,"Park/Garden,Main Road,Club,Others",5 to 10 Year Old,[],"['Maintenance Staff', 'Water Storage', 'Park']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"1 BHK Flat in Khajuri Kalan , Bhopal",Draupadi Shivlok Heights,₹10 Lac,"₹2,857 /sqft",Ready To Move,"We are the proud owners of this 1 bhk apartment available in draupadi shivlok heights, khajuri kalan , bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 350 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 350
(32.52 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 10 Lac
@ 2,857 per sq.ft.","Draupadi Shivlok Heights
Khajuri Kalan , Bhopal",1st   of 4 Floors,,,5 to 10 Year Old    View Construction Status,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Ayodhya Bypass , Bhopal",Girnar Valley,₹26 Lac,"₹3,714 /sqft",Ready To Move,"Looking for a 2 bhk property for sale in bhopal? Buy this 2 bhk flat in girnar valley that is situated in ayodhya bypass , bhopal. The flat is facing the north direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 700 sq.Ft. This flat lies on the 3rd level of a 7 storey building. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. Another plus point for this is that it is situated near close to hospital and close to mall. Girnar valley is designed very well to provide modern facilities such as maintenance staff and lift(s). The society provides continuous water supply from borewell/tank.","Carpet area: 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 26 Lac
@ 3,714 per sq.ft. (Negotiable)","Girnar Valley
Ayodhya Bypass , Bhopal",3rd   of 7 Floors,North,,5 to 10 Year Old,"['1 Wardrobe', '5 Fan', '1 Fridge', '1 Sofa', '8 Light', '1 TV', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"3 BHK Flat in 12 No Stop Arera Colony, Bhopal",12no. bus stop multi,₹65 Lac,"₹6,500 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in indus no 1 apartment, bawadia kalan, bhopal. This unfurnished apartment it is a and the unit is located on 1st floor and has a carpet area of 1000 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 65 Lac
@ 6,500 per sq.ft.","12no. bus stop multi
12 No Stop Arera Colony, Bhopal",1st   of 1 Floors,,,0 to 1 Year Old,[],[],[],
"2 BHK Flat in Hoshangabad Road, Bhopal",AAkar avenue,₹23 Lac,"₹2,300 /sqft",Ready To Move,Residential apartment for sell.The property comes with a good construction quality which ages 5-10 years old propertylocated in hoshangabad road.It is a semifurnished property.The property has 2 bedrooms with 2 bathrooms .Available at an expected price of rs 2300000.Located on 2nd floor out of the 4,"Super Built up area 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 23 Lac
@ 2,300 per sq.ft.","AAkar avenue
Hoshangabad Road, Bhopal",2nd   of 4 Floors,,,5 to 10 Year Old,"['2 Wardrobe', '2 Fan', '2 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 BHK Flat in Katara Hills, Bhopal",Bhojpal Shree Krishna Heights,₹36 Lac,"₹4,500 /sqft",Ready To Move,Flat 2 bhk free hold flat . On main road katara hills . Super built up 1260 sq ft.,"Super Built up area 1260
(117.06 sq.m.)
Built Up area: 900 sq.ft. (83.61 sq.m.)
Carpet area: 800 sq.ft. (74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies
View Floor Plan","₹ 36 Lac+ Govt Charges & Tax
@ 4,500 per sq.ft. (Negotiable)","Bhojpal Shree Krishna Heights
Katara Hills, Bhopal",2nd   of 7 Floors,North-West,"Main Road,Pool,Park/Garden,Club",1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
