pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Overlooking,Property Age,furnishing,features,ratings,Possession in
"4 Bedroom House for sale in Awadhpuri, Bhopal",Regal Kasturi,₹80 Lac,"₹8,888 /sqft",Ready To Move,"Are you planning to buy your dream home? You can consider this well-Built 4 bhk house for sale in awadhpuri, bhopal and make it your new address. Constructed on a super built up area of 900 sq.Ft., this house comprises 4 bedrooms, 5 bathrooms and 2 balconies. This 4 bhk house comes attached with 1 covered and 1 open parking for your vehicle(s). This is a ready to move house, which is 1-5 years old. The ownership right of this property is freehold. By paying just 80 lac, you can become the proud owner of this independent house. The house will offer a modern lifestyle as it is presented with many of the amenities such as maintenance staff and visitor parking. This independent house is well equipped to meet all your water needs through access to borewell/tank and municipal corporation supply. This property faces the north direction.","Plot area 900
(83.61 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 2 Balconies with Pooja Room","₹ 80 Lac+ Govt Charges & Tax
@ 8,888 per sq.ft. (Negotiable)","Regal Kasturi
Awadhpuri, Bhopal",3 Floors,North,"Park/Garden,Club,Others",1 to 5 Year Old,"['3 Wardrobe', '1 Geyser', '1 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 Bedroom House for sale in Ayodhya Bypass , Bhopal",Om Ganpati Atrium,₹60 Lac,"₹4,528 /sqft",Under Construction,"Om access realty is a residential development in dham kheda, bhopal. The project is built by om access realty. They provide skillfully designed plots with all necessities.",,,,,,,,,[],[],"[{'Connectivity': '4.2 out of 5'}, {'Lifestyle': '4.1 out of 5'}, {'Safety': '3.9 out of 5'}, {'Green Area': '4.1 out of 5'}]",
"4 Bedroom House for sale in Patel Nagar, Bhopal",IBD Raisina,₹65 Lac,"₹6,190 /sqft",Ready To Move,Triple story makan available for sale good location,"Plot area 1050
(97.55 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 65 Lac
@ 6,190 per sq.ft. (Negotiable)","IBD Raisina
Patel Nagar, Bhopal",2 Floors,West,,1 to 5 Year Old    View Construction Status,"['1 Fan', '1 Geyser', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"10 Bedroom House for sale in Shymala Hills, Bhopal","Shymala Hills, Bhopal",₹12 Cr,"₹36,363 /sqft",Ready To Move,Well its a corner property which have 2 corners at front side its in a main road nearby to all the markets hospital and its a vip area in a posh colony with very good neighbours its in u can use it as commercial property. Also by coverting it into,"Plot area 3300
(306.58 sq.m.)
Carpet area: 3300 sq.ft. (306.58 sq.m.)  
sq.ft.","10 Bedrooms , 4 Bathrooms, 3+ Balconies","₹ 12 Crore
@ 36,363 per sq.ft. (Negotiable)","Shymala Hills, Bhopal",2 Floors,East,"Park/Garden,Main Road,Sea facing,Others",10+ Year Old,[],"['Water Storage', 'Park', 'Visitor Parking']",[],
"3 Bedroom House for sale in Samardha, Bhopal",Sahib Prithvi Courtyard,₹75 Lac,"₹4,687 /sqft",Ready To Move,3bhk duplex East facing Hoshangabad main road,"Plot area 1035
(96.15 sq.m.)
Carpet area: 1600 sq.ft. (148.64 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 75 Lac+ Govt Charges & Tax
@ 4,687 per sq.ft. (Negotiable)","Sahib Prithvi Courtyard
Samardha, Bhopal",2 Floors,East,"Park/Garden,Club,Main Road",1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Waste Disposal', 'Rain Water Harvesting']",[],
"2 Bedroom House for sale in Ayodhya Bypass , Bhopal","Ayodhya Bypass , Bhopal",₹26 Lac,"₹5,000 /sqft",Ready To Move,"Interested to sell independent house/villa.Placed at ayodhya bypass .Nice semifurnished enhancing decorit has spacious 2 bedrooms and 3 bathrooms. .1000.00 sq.Ft.(Builtup area) , 600.00 sq.Ft.(Plot area) is the area of the propertywant to sell it for rs 2600000.It is a 0-1 years old property construction","Plot area 600
(55.74 sq.m.)
Built Up area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.","2 Bedrooms , 3 Bathrooms, No Balcony","₹ 26 Lac
@ 5,000 per sq.ft.","Ayodhya Bypass , Bhopal",2 Floors,,,0 to 1 Year Old,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"2 Bedroom House for sale in Katara Hills, Bhopal",BDA Swami Vivekanand Parisar,₹85 Lac,"₹9,000 /sqft",Ready To Move,"Duplex consist ground plus 1st located at gated colony main 80 feet wide road facing, with private garden having 17*13 feet spacious hall in ground plus 1st floor each , duplex having airy and fully ventilated , ample car parking etc","Plot area 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Study Room,Others","₹ 85 Lac
@ 9,000 per sq.ft. (Negotiable)","BDA Swami Vivekanand Parisar
Katara Hills, Bhopal",2 Floors,East,"Park/Garden,Main Road",5 to 10 Year Old,[],"['Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
"4 Bedroom House for sale in JK Road, Bhopal",New Minal Residency,₹2.1 Cr,"₹12,580 /sqft",Ready To Move,Newly renovated and painted house at most strategic location. Big open house,"Plot area 1550
(144 sq.m.)
Built Up area: 2400 sq.ft. (222.97 sq.m.)
Carpet area: 2250 sq.ft. (209.03 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 3 Balconies with Pooja Room,Study Room","₹ 2.1 Crore+ Govt Charges & Tax
@ 12,580 per sq.ft. (All inclusive, Negotiable) View Price Details","New Minal Residency
JK Road, Bhopal",1 Floors,West,,10+ Year Old,"['8 Fan', '1 Fridge', '1 Exhaust Fan', '10 Light', '1 TV', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Park', 'Visitor Parking', 'Security Personnel', 'Airy Rooms']",[],
"2 Bedroom House for sale in Kolar Road, Bhopal",Aamra Green,₹36.46 Lac,"₹3,426 /sqft",Ready To Move,"Aamra green is a residential development in kolar road, bhopal. The project is built by aamra shree builders. They provide skillfully designed plots with all necessities.",,,,,,,,,[],[],"[{'Connectivity': '4.2 out of 5'}, {'Lifestyle': '4.3 out of 5'}, {'Safety': '4.1 out of 5'}, {'Green Area': '4.1 out of 5'}]",
"5 Bedroom House for sale in Ayodhya Bypass , Bhopal",Raj Minal Residency,₹92 Lac,"₹11,500 /sqft",Ready To Move,"Looking for buyer to purchase our house/villa available for sale in bypass road, ayodhya. Available at price of rs 92 lacs. It has plot area of 800 sq ft. It has 5 bhk, 3 bathroom, 1 balcony.It is a freehold property","Plot area 800
(74.32 sq.m.)  
sq.ft.","5 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 92 Lac
@ 11,500 per sq.ft.","Raj Minal Residency
Ayodhya Bypass , Bhopal",2 Floors,,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",
