pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Overlooking,Possession in,furnishing,features,ratings,Facing,Property Age
"6 Bedroom House for sale in Bagmugaliya, Bhopal",pebble bay,₹7.5 Cr,"₹6,970 /sqft",Under Construction,Best villa for sale in pebble bay phase 6 bhopal location,"Plot area 10760
(999.64 sq.m.)  
sq.ft.","6 Bedrooms , 6 Bathrooms, 2 Balconies with Pooja Room,Store Room,Study Room,Servant Room
View Floor Plan","₹ 7.5 Crore
@ 6,970 per sq.ft. View Price Details","pebble bay
Bagmugaliya, Bhopal",2 Floors,"Pool,Others,Park/Garden,Club,Main Road",Dec 2026,"['1 Water Purifier', '6 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Stove', '7 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 Bed', '1 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Geyser']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"6 Bedroom House for sale in Shri Rameshwaram, Bhopal","Shri Rameshwaram, Bhopal",₹8 Cr,"₹7,434 /sqft",Under Construction,Best villa in pebble bay phase - 6 bhopal location,"Plot area 10760
(999.64 sq.m.)  
sq.ft.","6 Bedrooms , 6 Bathrooms, 2 Balconies with Pooja Room,Store Room,Study Room,Servant Room
View Floor Plan","₹ 8 Crore
@ 7,434 per sq.ft. View Price Details","Shri Rameshwaram, Bhopal",2 Floors,"Pool,Others,Park/Garden,Club,Main Road",,"['1 Water Purifier', '9 Fan', '1 Exhaust Fan', '1 Geyser', '1 Stove', '6 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Curtains', '1 Bed', '1 Wardrobe', '1 Sofa', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Under Construction
"5 Bedroom House for sale in Awadhpuri, Bhopal",Shri Ram Parisar,₹80 Lac,"₹6,279 /sqft",Ready To Move,"5 bhk specious duplex house in sri ram parisar awadhpuri bhopal.Secured campus, good locality, proper convenience,developed colony, garden, temple,west facing,high class gentry and much more.","Plot area 1274
(118.36 sq.m.)
Built Up area: 2200 sq.ft. (204.39 sq.m.)
Carpet area: 1950 sq.ft. (181.16 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 2 Balconies with Others","₹ 80 Lac+ Govt Charges & Tax
@ 6,279 per sq.ft. View Price Details","Shri Ram Parisar
Awadhpuri, Bhopal",2 Floors,Others,,[],"['Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,10+ Year Old
"4 Bedroom House for sale in Laharpur, Bhopal","Laharpur, Bhopal",₹2.31 Cr,"₹9,240 /sqft",Ready To Move,For sale:,"Plot area 2400
(222.97 sq.m.)
Built Up area: 3000 sq.ft. (278.71 sq.m.)
Carpet area: 2500 sq.ft. (232.26 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Study Room,Others,Servant Room","₹ 2.31 Crore
@ 9,240 per sq.ft. (Negotiable) View Price Details","Laharpur, Bhopal",2 Floors,"Park/Garden,Main Road",,[],"['Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",South,10+ Year Old
"4 Bedroom House for sale in Old Subhash Nagar Colony, Bhopal",old shubhash nagar,₹3 Cr,"₹15,706 /sqft",Ready To Move,House available for sell,"Plot area 1910
(177.44 sq.m.)
Built Up area: 2500 sq.ft. (232.26 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Study Room,Others","₹ 3 Crore
@ 15,706 per sq.ft. (Negotiable) View Price Details","old shubhash nagar
, Bhopal",1 Floors,"Park/Garden,Main Road,Others",,[],"['Water Storage', 'Visitor Parking']",[],West,10+ Year Old
"3 Bedroom House for sale in MP Nagar, Bhopal","MP Nagar, Bhopal",₹3.6 Cr,"₹24,000 /sqft",Ready To Move,Commercial use old house available,"Plot area 1500
(139.35 sq.m.)
Built Up area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Others","₹ 3.6 Crore
@ 24,000 per sq.ft. (Negotiable) View Price Details","MP Nagar, Bhopal",1 Floors,"Main Road,Others",,[],"['Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,10+ Year Old
"4 Bedroom House for sale in Salaiya, Bhopal","Salaiya, Bhopal",₹90 Lac,"₹10,227 /sqft",Under Construction,Under construction good for residential use,"Plot area 880
(81.75 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Study Room,Others","₹ 90 Lac
@ 10,227 per sq.ft. (Negotiable) View Price Details","Salaiya, Bhopal",3 Floors,"Park/Garden,Main Road,Others",Within 3 months,[],"['Maintenance Staff', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,
"6 Bedroom House for sale in Vidya Nagar, Bhopal",vidhya nagar,₹1.75 Cr,"₹12,052 /sqft",Ready To Move,Best for residential use as well as office cum residence,"Plot area 1452
(134.9 sq.m.)
Built Up area: 3000 sq.ft. (278.71 sq.m.)
Carpet area: 2500 sq.ft. (232.26 sq.m.)  
sq.ft.","6 Bedrooms , 5 Bathrooms, 2 Balconies with Study Room,Others,Servant Room","₹ 1.75 Crore
@ 12,052 per sq.ft. (Negotiable) View Price Details","vidhya nagar
Vidya Nagar, Bhopal",3 Floors,"Park/Garden,Main Road",,[],"['Water Storage', 'Park', 'Visitor Parking']",[],East,10+ Year Old
"3 Bedroom House for sale in Shakti Nagar, Bhopal","Shakti Nagar, Bhopal",₹3.75 Cr,"₹23,437 /sqft",Ready To Move,Best for semi commercial or residential use,"Plot area 4000
(371.61 sq.m.)
Built Up area: 2200 sq.ft. (204.39 sq.m.)
Carpet area: 1600 sq.ft. (148.64 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Others,Study Room,Pooja Room,Servant Room","₹ 3.75 Crore
@ 23,437 per sq.ft. (Negotiable) View Price Details","Shakti Nagar, Bhopal",1 Floors,"Park/Garden,Others,Main Road",,[],"['Park', 'Visitor Parking']",[],North,10+ Year Old
"4 Bedroom House for sale in Saket Nagar, Bhopal","Saket Nagar, Bhopal",₹2.1 Cr,"₹8,750 /sqft",Ready To Move,Best for residential use,"Plot area 2400
(222.97 sq.m.)
Built Up area: 2500 sq.ft. (232.26 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies with Study Room,Others","₹ 2.1 Crore
@ 8,750 per sq.ft. (Negotiable) View Price Details","Saket Nagar, Bhopal",2 Floors,"Main Road,Park/Garden,Others",,[],"['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,10+ Year Old
