pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Facing,Property Age,furnishing,features,ratings,Overlooking,Possession in
"3 Bedroom House for sale in Ayodhya Nagar, Bhopal","Ayodhya Nagar, Bhopal",₹60 Lac,"₹8,333 /sqft",Ready To Move,"Covered campus, tncp and rera approved","Plot area 720
(66.89 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 60 Lac
@ 8,333 per sq.ft. (Negotiable) View Price Details","Ayodhya Nagar, Bhopal",2 Floors,East,5 to 10 Year Old,"['1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"10 Bedroom House for sale in Sanjeev Nagar, Bhopal","Sanjeev Nagar, Bhopal",₹1.3 Cr,"₹8,666 /sqft",Ready To Move,Residential house with 30 thousand monthly rent,"Plot area 1500
(139.35 sq.m.)  
sq.ft.","10 Bedrooms , 8 Bathrooms, 2 Balconies with Pooja Room","₹ 1.3 Crore
@ 8,666 per sq.ft. (All inclusive)","Sanjeev Nagar, Bhopal",2 Floors,West,5 to 10 Year Old,[],['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"1 Bedroom House for sale in Bypass Road, Bhopal",DLF Gardencity Phase II,₹29 Lac,"₹3,790 /sqft",Ready To Move,"We are proud owners of house/villa available for sale in bypass road, gonda. Available at price of rs 29 lacs. It has plot area of 765 sq ft. It has 1 bhk, 1 bathroom, 1 balcony.It is a freehold property","Plot area 765
(71.07 sq.m.)  
sq.ft.","1 Bedroom , 1 Bathroom, 1 Balcony","₹ 29 Lac
@ 3,790 per sq.ft.","DLF Gardencity Phase II
Bypass Road, Bhopal",1 Floors,,1 to 5 Year Old,[],[],[],,
"4 Bedroom House for sale in Sonagiri, Bhopal","chanchal nagar, sonagiri, bhopal",₹58 Lac,"₹5,800 /sqft",Ready To Move,Duplex for sale in sonagiri main road distance to 200 mtr,"Plot area 1000
(92.9 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 58 Lac
@ 5,800 per sq.ft. (Negotiable)","chanchal nagar, sonagiri, bhopal
Sonagiri, Bhopal",2 Floors,West,10+ Year Old,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 Bedroom House for sale in Sector C Shahpura, Bhopal","Sector C Shahpura, Bhopal",₹32 Lac,"₹8,000 /sqft",Ready To Move,"Sector c shahpura is one of bhopal's most sought after destination for residential houses and this 2 bhk house in sector c shahpura is your opportunity to be a part of this community. This residential property boasts proximity to key landmarks like close to market, close to school and close to hospital. The floor plan additionally contains 2 bedrooms, 2 bathrooms and 1 balcony. All in all, the independent house is spread over a super built up area of 400 sq.Ft. The houses comes with dedicated 1 open parking space(s) where you can easily park your vehicle(s). As the property is already ready to move, so you can easily move into this 10+ years old house. This house is owned under leasehold contract. The price of this spacious independent house is 32 lac. Many of the modern amenities being offered, like visitor parking and park, will provide a pleasant living experience for you. The house provides a continuous supply of water for its residents. This is a north-Facing property. The house comes well built with cement flooring options.","Plot area 400
(37.16 sq.m.)
Built Up area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 32 Lac
@ 8,000 per sq.ft. View Price Details","Sector C Shahpura, Bhopal",1 Floors,North,10+ Year Old,[],"['Park', 'Visitor Parking']",[],Park/Garden,
"4 Bedroom House for sale in Panchwati Colony, Bhopal","Panchwati Colony, Bhopal",₹65 Lac,"₹7,462 /sqft",Ready To Move,"Good for investment, located near airport (Bhopal one of the prime or luxury colony)","Plot area 871
(80.92 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 65 Lac
@ 7,462 per sq.ft.","Panchwati Colony, Bhopal",3 Floors,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 Bedroom House for sale in Naveen nagar, Bhopal","Naveen nagar, Bhopal",₹1.8 Cr,"₹18,750 /sqft",Ready To Move,"Check out this 4 bhk house for sale in naveen nagar, a popular residential locality that contains many of the in-Demand properties in bhopal. Another plus point for the house is that it is situated near close to school, close to market and close to railway station. The house has over super built up area of 960 sq.Ft. And comes with 4 bedrooms, 4 bathrooms and 1 balcony. This 10+ years old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 1.8 crore, you can become the proud owner of this independent house. The house provides continuous water supply from municipal corporation. This is a north-Facing property. The house comes well built with stone flooring options.","Plot area 960
(89.19 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 1.8 Crore+ Govt Charges & Tax
@ 18,750 per sq.ft. (Negotiable)","Naveen nagar, Bhopal",2 Floors,North,10+ Year Old,"['1 Water Purifier', '5 Fan', '12 Light', '1 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']",['Water Storage'],[],,
"3 Bedroom House for sale in Hoshangabad Road, Bhopal",Bhojpal Shri Radhakrishna Residency,₹45 Lac,"₹7,166 /sqft",Ready To Move,"Duplex for sale. Covered campus Hoshangabad road, near 11mile, beside sahara estates","Plot area 600
(55.74 sq.m.)
Built Up area: 1050 sq.ft. (97.55 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac+ Govt Charges & Tax
@ 7,166 per sq.ft. (Negotiable)","Bhojpal Shri Radhakrishna Residency
Hoshangabad Road, Bhopal",2 Floors,West,1 to 5 Year Old,"['1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",
"2 Bedroom House for sale in Phanda Kala, Bhopal",AG8 Aakriti Highlands,₹35 Lac,"₹3,333 /sqft",Ready To Move,"Property is new and never used. It is a duplex bungalow with 2 bedrooms, 2 bathrooms, 1 hall and kitchen. It has a beautiful small garden outside for gardening. Aakriti highlands is a closed campus society with security guards available at the society gate for security. It is located at bhopal-Indore highway near phanda kala and is surrounded by lush green nature. It is a perfect place to stay if you love to enjoy city life but want to stay away from city chaos. Society has a temple in the premises and has direct access to bhopal indore highway. Project is opposite to radha ri dhani resort. 10 to 15 mins away from chirayu hospital and bairagarh.","Plot area 1050
(97.55 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 35 Lac+ Govt Charges & Tax
@ 3,333 per sq.ft. (All inclusive, Negotiable)","AG8 Aakriti Highlands
Phanda Kala, Bhopal",2 Floors,,1 to 5 Year Old,[],"['Private Garden / Terrace', 'Maintenance Staff', 'Park', 'Visitor Parking']",[],,
"2 Bedroom House for sale in Neelbad, Bhopal","Neelbad, Bhopal",₹30 Lac,"₹4,000 /sqft",Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 3 bhk house for sale in neelbad, a well-Planned and well-Connected locality in bhopal. This residential property boasts proximity to key landmarks like close to school, close to hospital, close to market and close to highway. The house has over super built up area of 750 sq.Ft. And comes with 3 bedrooms, 2 bathrooms . Another added advantage of this 1-5 years old house is that it is available for immediate possession. The type of ownership of this property is freehold. By paying just 30 lac, you can become the proud owner of this independent house. The independent house provides access to clean water through borewell/tank supply. This independent house is facing the east direction.","Plot area 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony","₹ 30 Lac+ Govt Charges & Tax
@ 4,000 per sq.ft. (Negotiable)","Neelbad, Bhopal",1 Floors,East,1 to 5 Year Old,[],"['Water Storage', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
