pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Total Floors,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"3 Bedroom House for sale in B sector shahpura, Bhopal","B sector shahpura, Bhopal",₹2.9 Cr,"₹12,083 /sqft",Ready To Move,"This proparty is very prime locations in b sectoer shahpura Corner house but, dismental house","Plot area 2400
(222.97 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 2.9 Crore
@ 12,083 per sq.ft. View Price Details","B sector shahpura, Bhopal",2 Floors,10+ Year Old,[],[],[],,,
"4 Bedroom House for sale in 9B Saket Nagar, Bhopal","9B Saket Nagar, Bhopal",₹2.5 Cr,"₹10,416 /sqft",Ready To Move,Near aiims near metro station near sps good for hostel or back office,"Plot area 2400
(222.97 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, No Balcony","₹ 2.5 Crore
@ 10,416 per sq.ft.","9B Saket Nagar, Bhopal",1 Floors,10+ Year Old,[],[],[],,,
"2 Bedroom House for sale in Indrapuri, Bhopal",Manglam Group Gokul Residency,₹86 Lac,"₹7,166 /sqft",Ready To Move,"Looking for buyer to purchase our house/villa available for sale in katara hills, bhopal. Available at price of rs 86 lacs. It has plot area of 1200 sq ft. It has 2 bhk, 3 bathroom, balcony.It is a freehold property","Plot area 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 3 Bathrooms, No Balcony","₹ 86 Lac
@ 7,166 per sq.ft.","Manglam Group Gokul Residency
Indrapuri, Bhopal",1 Floors,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"4 Bedroom House for sale in Lakherapura, Bhopal","Lakherapura, Bhopal",₹1.25 Cr,"₹11,363 /sqft",Ready To Move,"Spacious rooms, marble flooring, modular kitchen and furnished with wardrobes and an open area on the second floor to dry out your stuff and get fresh air in summers and enjoy vibrant sunlight during winters, all accessible.","Plot area 1100
(102.19 sq.m.)
Built Up area: 3000 sq.ft. (278.71 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, No Balcony with Pooja Room,Store Room","₹ 1.25 Crore
@ 11,363 per sq.ft. (All inclusive, Negotiable)","Lakherapura, Bhopal",2 Floors,10+ Year Old,"['2 Wardrobe', '3 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Natural Light', 'Airy Rooms']",[],East,,
"2 Bedroom House for sale in Ayodhya Nagar, Bhopal","Ayodhya Nagar, Bhopal",₹22 Lac,"₹5,597 /sqft",Ready To Move,"Housing board property, do construction quality is very good","Plot area 393
(36.51 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 22 Lac+ Govt Charges & Tax
@ 5,597 per sq.ft. (Negotiable)","Ayodhya Nagar, Bhopal",2 Floors,10+ Year Old,[],['Water Storage'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,,
"2 Bedroom House for sale in Laharpur, Bhopal","Laharpur, Bhopal",₹35 Lac,"₹4,861 /sqft",Ready To Move,"Do you wish to buy an independent house in laharpur, bhopal. This 2 bhk house looks like an ideal choice for somebody looking for peace of mind. The house has over super built up area of 720 sq.Ft. And comes with 2 bedrooms, 2 bathrooms . As the property is already ready to move, so you can easily move into this 10+ years old house. This house is owned under freehold contract. The price of this spacious independent house is 35 lac.","Plot area 720
(66.89 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony with Others","₹ 35 Lac+ Govt Charges & Tax
@ 4,861 per sq.ft. (All inclusive, Negotiable)","Laharpur, Bhopal",1 Floors,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,Park/Garden,
"3 Bedroom House for sale in Sai Vihar Colony, Bhopal",kwality paradise,₹82 Lac,"₹5,466 /sqft",Ready To Move,"It's a 3bhk duplex with all the rooms having attached washroom, modular kitchen, huge 200+sqft gallery, 2 car parkings & a seperate wash area.","Plot area 1500
(139.35 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 1 Balcony","₹ 82 Lac
@ 5,466 per sq.ft. (Negotiable)","kwality paradise
Sai Vihar Colony, Bhopal",2 Floors,10+ Year Old,"['1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],[],East,,
"3 Bedroom House for sale in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹55 Lac,"₹7,857 /sqft",Ready To Move,"Looking to buy an independent house in bhopal? Do check out this 3 bhk house in awadhpuri, which is an ideal choice for a family. Constructed on a super built up area of 700 sq.Ft., this house comprises 3 bedrooms, 2 bathrooms and 1 balcony. Your vehicle(s) can be easily parked as this house comes with 1 covered and 1 open parking. This 10+ years old property is available for immediate possession as the house is ready to move. It is a freehold property. This spacious house can be all yours at an attractive price of 55 lac. The independent house is designed very well and will provide modern facilities such as park, maintenance staff and visitor parking. This independent house has access to clean 24*7 supply of water for its residents. This residential house is west-Facing direction. The well built vitrified flooring enhances the aesthetic appeal of this independent house. The vitrified flooring of this independent house is beautifully designed and helps to give it a pleasing look.","Plot area 700
(65.03 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 55 Lac+ Govt Charges & Tax
@ 7,857 per sq.ft. (Negotiable) View Price Details","Awadhpuri, Bhopal",2 Floors,10+ Year Old,"['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '5 Light', '1 Chimney', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,"Park/Garden,Main Road",
"5 Bedroom House for sale in New Minal Residency, Bhopal","New Minal Residency, Bhopal",₹2 Cr,"₹10,000 /sqft",Ready To Move,Ready to move property in good condition,"Plot area 2000
(185.81 sq.m.)  
sq.ft.","5 Bedrooms , 3 Bathrooms, 1 Balcony","₹ 2 Crore
@ 10,000 per sq.ft. (All inclusive)","New Minal Residency, Bhopal",2 Floors,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 Bedroom House for sale in Hoshangabad Road, Bhopal",Prithvi Kilol Bungalows,₹1.4 Cr,"₹7,730 /sqft",Ready To Move,A large 3 bhk duplex of carpet area more than 2000 sq.Ft. On 1800 sq.Ft. Plot in proximity to hoshangabad road. All wooden work completed along with 3 kw solar plant installed.,"Plot area 1811
(168.25 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies","₹ 1.4 Crore
@ 7,730 per sq.ft. (All inclusive)","Prithvi Kilol Bungalows
Hoshangabad Road, Bhopal",2 Floors,1 to 5 Year Old,"['2 Bed', '2 Wardrobe', '7 Fan', '1 Sofa', '1 Dining Table', '3 Geyser', '7 Light', '1 AC', '1 Chimney', 'No Curtains', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Park/Garden,Main Road",
"2 Bedroom House for sale in Misrod, Bhopal",Sahara States,₹55 Lac,"₹4,122 /sqft",Ready To Move,"Independent row house,east facing","Plot area 1334
(123.93 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, No Balcony with Pooja Room,Others","₹ 55 Lac+ Govt Charges & Tax
@ 4,122 per sq.ft. (All inclusive)","Sahara States
Misrod, Bhopal",1 Floors,10+ Year Old,[],"['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Others,
"3 Bedroom House for sale in Danish Kunj, Bhopal",Citi Vistaar,₹47 Lac,"₹7,833 /sqft",Ready To Move,"This property is located in a covered campus and near sage international school and narayana school, connectivity with 80 ft road.","Plot area 600
(55.74 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 47 Lac+ Govt Charges & Tax
@ 7,833 per sq.ft. (Negotiable) View Price Details","Citi Vistaar
Danish Kunj, Bhopal",2 Floors,5 to 10 Year Old,"['1 Wardrobe', '1 Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,,
"2 Bedroom House for sale in Nariyalkheda, Bhopal","Nariyalkheda, Bhopal",₹75 Lac,"₹7,500 /sqft",Ready To Move,"I have a house/villa available for sale in nariyalkheda, kheda. Available at price of rs 75 lacs. It has plot area of 1000 sq ft. It has 2 bhk, 1 bathroom, 0 balcony.It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, No Balcony","₹ 75 Lac
@ 7,500 per sq.ft.","Nariyalkheda, Bhopal",2 Floors,5 to 10 Year Old,[],[],[],,,
"4 Bedroom House for sale in Bawadia Kalan, Bhopal",Fortune Landmark,₹1.45 Cr,"₹12,083 /sqft",Ready To Move,"4bhk bungalow newly constructed good cross ventilation, spacious bedrooms and toilets all bedrooms have attached toilet and 1 common toilet, fall ceiling, modular kitchen, spacious balcony","Plot area 1200
(111.48 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 3 Balconies with Pooja Room","₹ 1.45 Crore+ Govt Charges & Tax
@ 12,083 per sq.ft. (All inclusive) View Price Details","Fortune Landmark
Bawadia Kalan, Bhopal",3 Floors,0 to 1 Year Old    View Construction Status,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,"Park/Garden,Main Road",
"5 Bedroom House for sale in Kolar Road, Bhopal",Fortune Greenshire,₹42 Lac,"₹4,421 /sqft",Ready To Move,Tncp & rera approved colony garden facing hai,"Plot area 800
(74.32 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 950 sq.ft. (88.26 sq.m.)  
sq.ft.","5 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 42 Lac
@ 4,421 per sq.ft.","Fortune Greenshire
Kolar Road, Bhopal",2 Floors,1 to 5 Year Old,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'High Ceiling Height', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"2 Bedroom House for sale in Ayodhya Bypass , Bhopal","Ayodhya Bypass , Bhopal",₹25 Lac,"₹4,166 /sqft",Ready To Move,Ayodhya nagar me,"Plot area 600
(55.74 sq.m.)
Carpet area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony with Pooja Room,Study Room,Servant Room,Others","₹ 25 Lac
@ 4,166 per sq.ft. (Negotiable)","Ayodhya Bypass , Bhopal",1 Floors,0 to 1 Year Old,[],"['Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Club,Main Road,Park/Garden",
