pname,society,price,price_per_sqft,total_area,area_sqm,area_type,possesion,description,Dimensions,Price,Address,Facing,No. of Open Sides,Overlooking,Possession,Boundary wall,Gated Society,Width of facing road,Authority approved,Floors Allowed For Construction,Corner Property
"Residential land / Plot in Awadhpuri, Bhopal",Lodhi Kasturi Habitat Phase 2,₹50.85 - 93.62 Lac,"₹4,700 /sqft","1,082-1,992 sqft",(101 - 185 sqm),Plot Area,Under Construction,"Lavish, is the only way to describe these beautiful plots and villas situated in awadhpuri, bhopal. Kasturi habitat phase 2 built by stuti devcon have everything that you will ever expect in a true luxury accommodation. Extended over a wide area, its architecture and attention to detail, put them in a class by themselves. These homes are recognized by m.P. Rera and is built with all essential a...",,,,,,,,,,,,,
"Residential land / Plot in Airport Road, Bhopal",Jai Mahadevs Golden Residency,₹20.28 Lac,"₹2,200 /sqft",922 sqft,(86 sqm),Plot Area,Under Construction,"This project ranks amongst the most popular projects in this locality with good amenities, specifications and connectivity options.",,,,,,,,,,,,,
"Residential land / Plot in Katara Hills, Bhopal",Sage Sun Villas,₹41.88 - 80.97 Lac,"₹3,575 /sqft","1,200-2,320 sqft",(111 - 216 sqm),Plot Area,Under Construction,"Lavish, is the only way to describe these beautiful 4bhk villas in katara hills, bhopal. Agrawal sage sun villas built by agrawal construction co have everything you would ever expect in a true luxury accommodation. Extended over a wide area, the architecture and attention to detail put them in a class by themselves. These homes are recognized by state rera and built with all essential amenities.",,,,,,,,,,,,,
"Residential land / Plot in Katara Hills, Bhopal",Pride Premier,₹48.41 - 56.96 Lac,"₹4,700 /sqft","1,030-1,212 sqft",(96 - 113 sqm),Plot Area,Under Construction,"Sterling pride premier is a residential development in katara hills, bhopal. The project is built by sterling balajee realty. They provide skillfully designed plots with all necessities.",,,,,,,,,,,,,
"Residential land / Plot in Kolar Road, Bhopal",Fortune Blue Ridge,₹21.56 - 47.25 Lac,"₹3,983 /sqft","616-1,050 sqft",(57 - 98 sqm),Plot Area,Ready To Move,"Fortune blue ridge in kolar road, bhopal by fortune builders is a residential project. The project offers land with perfect combination of contemporary architecture and features to provide comfortable living. The size of the land is from 57.23 sq. Mt to 97.55 sq. Mt Fortune blue ridge price ranges from 4.20 cr to 12.60 lacs. This is a rera registered project with registration number pbpl17640. ...",,,,,,,,,,,,,
"Residential land / Plot in Ratibad, Bhopal",Siddhi Vinayak Farms,₹14.7 - 25.33 Lac,₹135 /sqft,"10,890-18,765 sqft","(1,012 - 1,743 sqm)",Plot Area,,"Nestled amidst water bodies and teak forests, our farmland offers more than just land. They offer peace, a lifestyle, and a sound investment for the future. ===================== Welcome to a sanctuary where nature thrives and serenity awaits. Here, amidst the lush teak forests and shimmering water bodies, you'll discover more than just land, you'll find a living, breathing ecosystem. Imagine w...",,,,,,,,,,,,,
"Residential land / Plot in Bawadia Kalan, Bhopal",Sage Prestige,₹1.81 - 5 Cr,"₹12,500 /sqft","1,450-4,000 sqft",(135 - 372 sqm),Plot Area,Under Construction,"Sage prestige is a residential development in bawadia kalan, bhopal. The project is built by sage town. They provide skillfully designed plots with all necessities.",,,,,,,,,,,,,
"Residential land / Plot in Sehore Road, Bhopal",Anandam Hills View Farms,₹38.44 Lac - 1.53 cr,₹699 /sqft,"5,500-21,877 sqft","(511 - 2,032 sqm)",Plot Area,,"This project ranks amongst the most popular projects in this locality with good amenities, specifications and connectivity options.",,,,,,,,,,,,,
"Residential land / Plot in Phanda Kala, Bhopal","Phanda Kala, Bhopal",₹28.42 Lac,₹700 /sqft,"4,055 sqft",(377 sqm),Plot Area,Ready To Move,"We have a farm land available for sale in phanda kala, bhopal. Available at price of rs 2842000. It has plot area of 4055 sqft. It is a cooperative property","Plot area 4055
(376.72 sq.m.)  
sq.ft.","₹ 28.42 Lac
@ 700 per sq.ft.","Phanda Kala, Bhopal",East,2.0,Park/Garden,Immediate,,Yes,,,,
"Residential land / Plot in Bypass Road, Bhopal","Bypass Road, Bhopal",₹37 Lac,"₹1,607 /sqft","2,301 sqft",(214 sqm),Plot Area,Ready To Move,Plot is in indore bhopal highway bakaniya all papers completed diversion and namantaran,"Plot area 2301
(213.77 sq.m.)  
sq.ft.","₹ 37 Lac+ Govt Charges & Tax
@ 1,607 per sq.ft. (All inclusive, Negotiable)","Bypass Road, Bhopal",West,1.0,,Immediate,No,,31.0 Feet,,,
"Residential land / Plot in Raisen Road, Bhopal",Maa Kankaali Farms,₹28.96 - 66.9 Lac,₹449 /sqft,"6,450-14,899 sqft","(599 - 1,384 sqm)",Plot Area,,"This project ranks amongst the most popular projects in this locality with good amenities, specifications and connectivity options.",,,,,,,,,,,,,
"Residential land / Plot in Kokta Bypass Road, Bhopal","Kokta Bypass Road, Bhopal",₹44 Lac,₹706 /sqft,"6,230 sqft",(579 sqm),Plot Area,Ready To Move,East phasing Lake phasing On kokta transport bypass the Near my azeej premji university Near rto Near eng. College Near pulish academy,"Plot area 6230
(578.79 sq.m.)
l x b : 102.00 ft.(31.09 mt.) x 61.00 ft.(18.59 mt.)  
sq.ft.","₹ 44 Lac+ Govt Charges & Tax
@ 706 per sq.ft. (Negotiable)","Kokta Bypass Road, Bhopal",East,1.0,"Park/Garden,Others,Main Road,Club",,,Yes,,Yes,,
"Residential land / Plot in Sehore Road, Bhopal","Sehore Road, Bhopal",₹57.49 Lac,₹699 /sqft,"8,225 sqft",(764 sqm),Plot Area,Under Construction,"Anandam hill view residential diverted farmhouse plots near bhopal-Indore expressway! Fully developed campus with: 1. Covered campus with cctv, 247 water & electricity, cc roads, and underground sewage ensuring safe and uninterrupted living. 2. Lavish landscaped gardens, fruit trees, green fencing, and scenic gazebos blending luxury with nature. 3. Swimming pool with kids pool, yoga & meditatio...","Plot area 8225
(764.13 sq.m.)  
sq.ft.","₹ 57.49 Lac
@ 699 per sq.ft. (Negotiable)","Sehore Road, Bhopal",,1.0,"Pool,Park/Garden,Club,Main Road",By 2026,No,,,,,
"Residential land / Plot in Airport Road, Bhopal",Airport City,₹71.84 Lac,"₹5,150 /sqft","1,395 sqft",(130 sqm),Plot Area,Ready To Move,"Covered campus, around 22 acres, east and lawn facing, prime location. Plot available in circular road, plot size 1395","Plot area 1395
(129.6 sq.m.)
l x b : 53.55 ft.(16.32 mt.) x 26.00 ft.(7.92 mt.)  
sq.ft.","₹ 71.84 Lac
@ 5,150 per sq.ft. (All inclusive, Negotiable)","Airport City
Airport Road, Bhopal",East,1.0,"Park/Garden,Club,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Khajoori Sadak, Bhopal",NEEL GAGAN FARMS,₹23 Lac,₹920 /sqft,"2,500 sqft",(232 sqm),Plot Area,Ready To Move,150 ft distance from indore bhopal highway Distance from bairagarh rly station - 10km Distance from chirayu hospital - 5km 20ft approach road from highway to property 1km from radha ri dhani resort 500m from nandan resort 1km from akriti exotica colony 100m from downtown colony This is commercial property very useful for restaurant and oyo hotel business..,"Plot area 2500
(232.26 sq.m.)
l x b : 55.00 ft.(16.76 mt.) x 45.00 ft.(13.72 mt.)  
sq.ft.","₹ 23 Lac
@ 920 per sq.ft. (All inclusive, Negotiable)","NEEL GAGAN FARMS
Khajoori Sadak, Bhopal",East,2.0,Main Road,Immediate,,,,,0 Floors,
"Residential land / Plot in Phanda Kala, Bhopal","Phanda Kala, Bhopal",₹2.8 Cr,"₹2,000 /sqft","14,000 sqft","(1,301 sqm)",Plot Area,Ready To Move,"Check out this plot in phanda kala, bhopal, an ideal destination to build your dream residence. This 14000 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. Currently the nature of ownership of the property is freehold. The expected price for the prop...","Plot area 14000
(1300.64 sq.m.)  
sq.ft.","₹ 2.8 Crore
@ 2,000 per sq.ft.","Phanda Kala, Bhopal",,2.0,,Immediate,Yes,,,,,
