pname,society,price_outer,price_per_sqft,possesion,description,Area,Total Floors,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,area
"3 Bedroom House for sale in Kolar Road, Bhopal",ultimate english villa,60.0,8534,Ready To Move,Na....................................,"Plot area 703
(65.31 sq.m.)  
sq.ft.",2,West,5 to 10 Year Old,"['2 Wardrobe', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Waste Disposal']",,3,3,1,Not Available,703.07
"4 Bedroom House for sale in Lalghati, Bhopal",globus greens,225.0,15000,Ready To Move,It's very spacious bunglow ..It's prime location..Nearest all amenities..,"Plot area 1500
(139.35 sq.m.)
Built Up area: 2500 sq.ft. (232.26 sq.m.)  
sq.ft.",2,West,5 to 10 Year Old,"['4 Bed', '8 Wardrobe', '6 Fan', '1 Sofa', '1 Exhaust Fan', '3 Geyser', '2 AC', '3 TV', '1 Modular Kitchen', '1 Chimney', 'No Curtains', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Park', 'Visitor Parking']","Park/Garden,Club",4,3,1, pooja room,1500.0
"6 Bedroom House for sale in Barkhera Pathani, Bhopal",basant vihar colony,48.0,2400,Ready To Move,As you can see in the photos the ground floor of our house is completed but the 1st floor and 2nd floor are incomplete. Currently we live in the ground floor since last three years. Some key factors about the location are - The house is in front of society's park. House with lots of greenery. 247 water facility. ( Boring water) The colony is on the main road. (Near to the bus stop) The house located near the aiims hospital. (5 mins away) Near to the market. (5 mins away) Ranikamlapati railway station 15 mins away.,"Plot area 625
(58.06 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.",3,North,1 to 5 Year Old,,"['Water Storage', 'Park']",Park/Garden,6,2,2,Not Available,2000.0
"9 Bedroom House for sale in Manak Vihar, Bhopal",manak vihar,150.0,5000,Ready To Move,Ground floor bedrooms two with common washroom one master bedroom with attached wasroom I drawing room I kitchen Front side open space for garden and parking Back side utility area First floor 7 rooms 5with attached washroom 2 with a common washroom,"Plot area 3000
(278.71 sq.m.)  
sq.ft.",2,NA,10+ Year Old,,"['Private Garden / Terrace', 'High Ceiling Height', 'No open drainage around', 'Natural Light', 'Airy Rooms', 'Spacious Interiors']",,9,7,1, pooja room,3000.0
"5 Bedroom House for sale in Hoshangabad Road, Bhopal",hoshangabad road,138.0,3484,Ready To Move,"East facing bunglow ,prime location at narmadapuram road close to shopping malls like capital mall, coral woods shopping complex,phoneix mall","Plot area 2135
(198.35 sq.m.)
Built Up area: 4250 sq.ft. (394.84 sq.m.)
Carpet area: 3960 sq.ft. (367.9 sq.m.)  
sq.ft.",2,East,1 to 5 Year Old,"['4 Wardrobe', '4 Fan', '1 Exhaust Fan', '1 Geyser', '5 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Visitor Parking', 'Park', 'Natural Light', 'Airy Rooms', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","Park/Garden,Main Road",5,4,3," pooja room,study room,servant room,others",3960.96
"1 Bedroom House for sale in Bagli, Bhopal",jd kasturi vihar,29.0,5664,Ready To Move,"We are the proud owners of this 1 bhk apartment available in , bagli, bhopal. This unfurnished apartment is a 1-5 year old property, rs. Rs29 lac. It is a resale and a ready to move in apartment. The unit is located on null floor and has . It has 1 bathroom(s). The ownership is freehold type. The apartment has 1 open parking.","Plot area 512
(47.57 sq.m.)  
sq.ft.",0,NA,1 to 5 Year Old,,,,1,1,0,Not Available,512.01
"2 Bedroom House for sale in Bagh Dilkusha, Bhopal",bagh dilkusha,150.0,16666,Ready To Move,"We are proud owners of house/villa available for sale in bagh dilkusha, bhopal. Available at price of rs 1.5 crores. It has plot area of 900 sq ft. It has 3 bhk, 1 bathroom, 1 balcony.It is a freehold property","Plot area 900
(83.61 sq.m.)  
sq.ft.",1,NA,10+ Year Old,,,,2,1,1,Not Available,900.04
"3 Bedroom House for sale in Housing Board Colony, Bhopal",housing board colony,85.0,8228,Ready To Move,Three b.H.K with two bathroom and balconey corner duplex house for sale,"Plot area 1033
(95.97 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 1033 sq.ft. (95.97 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,,,,3,2,1,Not Available,1033.06
"3 Bedroom House for sale in Eint Khedi, Bhopal",eit khedi,22.9,3053,Ready To Move,Sell my house 750sf 25*30 Ready to move,"Plot area 750
(69.68 sq.m.)
Carpet area: 750 sq.ft. (69.68 sq.m.)  
sq.ft.",1,NA,0 to 1 Year Old,,,,3,2,1, others,750.08
"2 Bedroom House for sale in Rasuliya Pathar, Bhopal",rasuliya pathar,25.0,3125,Under Construction,Piece full area property near rasulia pathar railway station only 1 km,"Plot area 800
(74.32 sq.m.)  
sq.ft.",1,East,,,['Visitor Parking'],,2,2,1,Not Available,800.0
"5 Bedroom House for sale in Kohefiza, Bhopal",housing board colony,560.0,13526,Ready To Move,"East facing, big garden with full surrounding from tress and all over greenery.","Plot area 4140
(384.62 sq.m.)  
sq.ft.",1,East,10+ Year Old,"['3 Geyser', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Separate entry for servant room', 'Visitor Parking', 'Natural Light', 'Airy Rooms']",Park/Garden,5,5,2," pooja room,servant room,store room",4140.17
"3 Bedroom House for sale in Ashoka Garden, Bhopal",ashoka garden,65.0,8666,Ready To Move,"Saiz 15x50 Total = 750 sqft Naveen nagar , Near 80","Plot area 750
(69.68 sq.m.)  
sq.ft.",1,NA,1 to 5 Year Old,,,,3,2,1,Not Available,750.06
"8 Bedroom House for sale in Dwarka Nagar, Bhopal",dwarka nagar,70.0,9333,Ready To Move,"This triplex is situated in the city centre , just 0.5 km from railway station, 3km from bus stand , and 4 km from city market , everything is situated nearby .","Plot area 750
(69.68 sq.m.)  
sq.ft.",3,North,5 to 10 Year Old,,"['False Ceiling Lighting', 'No open drainage around', 'Natural Light', 'Airy Rooms']",,8,4,2,Not Available,750.03
"4 Bedroom House for sale in Airport Road, Bhopal",comfort green airport road,95.0,9047,Ready To Move,"I am looking for buyer to purchase house/villa available for sale in airport road, bhopal. Available at price of rs 95 lacs. It has plot area of 1050 sq ft. It has 4 bhk, 3 bathroom, 1 balcony.It is a freehold property","Plot area 1050
(97.55 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.",2,North-East,10+ Year Old,,"['Maintenance Staff', 'Water Storage', 'Park', 'Waste Disposal']",Park/Garden,4,3,1, pooja room,1050.07
"3 Bedroom House for sale in Bypass Road, Bhopal",jawahar nagar,52.0,2600,Ready To Move,"We have a house/villa available for sale in bypass road, meerut. Available at price of rs 52 lacs. It has plot area of 2000 sq ft. It has 3 bhk, 2 bathroom, 1 balcony.It is a freehold property","Plot area 2000
(185.81 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,,,,3,2,1,Not Available,2000.0
"4 Bedroom House for sale in Kotra Sultanabad, Bhopal",akash nagar,200.0,13333,Ready To Move,"Its a gated colony with 24 hour security House has 2 & 4 wheeler parking in front as well as inside the house First floor will be given for rent, house is open, airy & very light with a separate puja room The balcony of the house is west facing & has direct visibility to temple There is a children park in front of the house with walking trail and exercise equipment As there is a park, it will always be open in front of the house - Which means air cross ventilation is permanent & privacy is maintained when you are sitting in balcony Water capacity is 2000 litres & house has 24-Hour security surveillance on both floors We are a vegetarian family & we prefer the same The society celebrates all festivals & family will appreciate the ambience","Plot area 1500
(139.35 sq.m.)  
sq.ft.",2,West,5 to 10 Year Old,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Private Garden / Terrace', 'Water Storage', 'No open drainage around', 'Park', 'Recently Renovated', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors']",Park/Garden,4,4,1," pooja room,study room",1500.04
"3 Bedroom House for sale in Karond, Bhopal",karond,35.0,2916,Ready To Move,Direct owner sell this property and good area.,"Plot area 1200
(111.48 sq.m.)
Built Up area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.",1,NA,10+ Year Old,,,,3,2,0,Not Available,1200.27
"3 Bedroom House for sale in Neelbad, Bhopal",manohar colony,55.0,4583,Ready To Move,"Looking for buyer this property near by hospital, school, colleges, petrol pump and sehore indore highway and all facilities available in this property this property in covered campus","Plot area 1200
(111.48 sq.m.)  
sq.ft.",2,North-East,1 to 5 Year Old,,"['Water Storage', 'Internet/wi-fi connectivity']",,3,2,1,Not Available,1200.09
"5 Bedroom House for sale in Indrapuri, Bhopal",indrapuri,290.0,12083,Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 5 bhk house for sale in indrapuri, a well-Planned and well-Connected locality in bhopal. The house has over super built up area of 2400 sq.Ft. And comes with 5 bedrooms, 3 bathrooms and 2 balconies. As the property is already ready to move, so you can easily move into this 1-5 years old house. This house is owned under leasehold contract. This independent house is available at an attractive price of 2.9 crore.","Plot area 2400
(222.97 sq.m.)  
sq.ft.",3,NA,1 to 5 Year Old,,,,5,3,2,Not Available,2400.07
"7 Bedroom House for sale in Danish Kunj, Bhopal",danish kunj,150.0,10000,Ready To Move,Danish kunj prime location Plot 1500sqfeet (30*50),"Plot area 1500
(139.35 sq.m.)  
sq.ft.",1,NA,5 to 10 Year Old,,,,7,4,1,Not Available,1500.0
"4 Bedroom House for sale in Hoshangabad Road, Bhopal",shangrila housing society,120.0,12000,Ready To Move,"We have a house/villa available for sale in sonagiri, bhopal. Available at price of rs.12000000. It has plot area of 1000 sqft. It has 4 bhk, 3 bathroom, 2 balcony.It is a leasehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.",2,NA,5 to 10 Year Old,,,,4,3,2,Not Available,1000.0
