colony,property_type,Total Floors,Property Age,bedrooms,bathrooms,balconies,built_up_area,servant room,store room,furnishing_type,Overlooking_Categories,luxury_category,price
10.0,1.0,1.0,2.0,7,5,0,2800.0,0,0,1,1.0,2.0,105.0
22.0,0.0,2.0,1.0,3,3,1,1567.1999999999998,0,0,1,1.0,2.0,85.0
20.0,0.0,3.0,1.0,2,2,3,957.0,0,0,1,1.0,1.0,25.0
0.0,1.0,2.0,2.0,4,5,1,2400.0,0,0,0,3.0,1.0,65.0
13.0,1.0,3.0,1.0,6,6,2,4000.0,1,1,2,3.0,1.0,650.0
22.0,1.0,1.0,1.0,4,6,2,2400.0,0,1,1,3.0,2.0,75.0
8.0,1.0,3.0,0.0,2,4,0,1800.0,0,0,1,3.0,1.0,65.0
26.0,1.0,2.0,1.0,3,3,2,735.0,0,0,1,1.0,2.0,71.0
22.0,1.0,1.0,1.0,4,4,1,2700.0,0,0,1,3.0,1.0,145.0
29.0,1.0,2.0,0.0,2,1,3,840.0,0,0,1,1.0,2.0,25.0
29.0,1.0,2.0,1.0,3,3,2,3000.0,0,0,0,1.0,1.0,80.0
18.0,1.0,1.0,0.0,3,3,1,1200.0,0,0,1,1.0,1.0,36.9
11.0,1.0,1.0,0.0,3,2,1,1000.0,0,0,1,1.0,1.0,37.0
20.0,0.0,3.0,0.0,1,1,1,600.0,0,0,1,3.0,1.0,10.0
18.0,0.0,4.0,0.0,2,2,2,932.8446053670676,0,0,1,0.0,2.0,33.0
32.0,1.0,3.0,0.0,2,3,3,650.0,0,0,1,3.0,1.0,50.0
4.0,0.0,3.0,0.0,3,3,3,1400.8216490595464,0,1,0,0.0,0.0,69.0
33.0,0.0,5.0,1.0,3,3,2,1360.3983828269734,0,0,1,0.0,2.0,68.0
3.0,0.0,1.0,2.0,2,2,2,762.0,0,0,1,0.0,2.0,23.0
10.0,1.0,3.0,1.0,2,1,1,525.0,0,0,1,3.0,1.0,40.0
10.0,1.0,2.0,2.0,4,4,1,960.0,0,0,0,3.0,1.0,180.0
13.0,1.0,2.0,2.0,3,4,2,1500.0,0,0,1,3.0,1.0,150.0
18.0,1.0,4.0,1.0,4,5,1,1400.0,1,0,1,0.0,1.0,260.0
7.0,0.0,1.0,1.0,3,3,3,1878.0,0,0,0,1.0,2.0,60.0
8.0,1.0,1.0,0.0,3,3,0,675.0,0,0,1,3.0,1.0,40.0
35.0,1.0,2.0,0.0,6,7,3,2100.0,0,1,0,1.0,1.0,200.0
7.0,1.0,2.0,1.0,4,4,1,2850.0,0,0,0,0.0,2.0,295.0
14.0,0.0,1.0,0.0,1,1,1,660.0,0,0,1,3.0,1.0,7.0
35.0,1.0,1.0,2.0,4,4,1,1950.0,0,0,0,1.0,1.0,600.0
17.0,0.0,2.0,2.0,1,1,1,774.0,0,0,0,3.0,1.0,26.0
18.0,0.0,4.0,0.0,2,1,1,660.7649288016728,0,0,1,0.0,2.0,22.5
14.0,1.0,1.0,1.0,3,4,2,1000.0,0,0,1,1.0,2.0,85.0
20.0,1.0,2.0,0.0,3,3,1,1200.0,0,0,1,1.0,2.0,100.0
29.0,1.0,2.0,1.0,4,2,2,2160.0,0,0,1,1.0,1.0,55.0
4.0,0.0,7.0,0.0,4,4,3,1535.3067463332986,0,0,0,0.0,2.0,75.0
20.0,1.0,1.0,1.0,2,2,1,1200.0,0,0,1,1.0,1.0,78.0
7.0,1.0,2.0,2.0,4,3,2,3000.0,1,0,1,1.0,1.0,231.0
20.0,1.0,2.0,0.0,3,3,2,2000.0,0,0,1,1.0,1.0,100.0
