colony,property_type,price_outer,price_per_sqft,Total Floors,Property Age,bedrooms,bathrooms,balconies,built_up_area,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories
bhopal,House,105.0,3750,1.0,Old Property,7,5,0,2800.0,0,0,0,0,0,0,1,71,Green View Homes
kolar road,Flat,85.0,6508,2.0,New Property,3,3,1,1567.1999999999998,0,0,0,1,0,1,1,35,Green View Homes
katara hills,Flat,25.0,2173,3.0,New Property,2,2,3,957.0,0,0,0,0,0,0,1,15,Green View Homes
aishbagh,House,65.0,5909,2.0,Old Property,4,5,1,2400.0,0,0,0,1,0,0,0,18,Road Facing Homes
chuna bhatti,House,650.0,16250,3.0,New Property,6,6,2,4000.0,1,1,1,1,0,0,2,10,Road Facing Homes
kolar road,House,75.0,4687,1.0,New Property,4,6,2,2400.0,1,0,1,1,0,0,1,37,Road Facing Homes
bairagarh,House,65.0,3611,3.0,Moderate Property,2,4,0,1800.0,0,0,0,0,0,0,1,0,Road Facing Homes
misrod,House,71.0,9659,2.0,New Property,3,3,2,735.0,0,0,0,0,0,0,1,31,Green View Homes
kolar road,House,145.0,5370,1.0,New Property,4,4,1,2700.0,0,0,0,0,0,0,1,13,Road Facing Homes
outside bhopal,House,25.0,2976,2.0,Moderate Property,2,1,3,840.0,0,0,0,0,0,0,1,28,Green View Homes
outside bhopal,House,80.0,4210,2.0,New Property,3,3,2,3000.0,0,0,0,0,0,0,0,17,Green View Homes
hoshangabad road,House,36.9,5271,1.0,Moderate Property,3,3,1,1200.0,0,0,0,0,0,0,1,9,Green View Homes
bypass road,House,37.0,3700,1.0,Moderate Property,3,2,1,1000.0,0,0,0,0,0,0,1,0,Green View Homes
katara hills,Flat,10.0,2000,3.0,Moderate Property,1,1,1,600.0,0,0,0,0,0,0,1,10,Road Facing Homes
hoshangabad road,Flat,33.0,2750,4.0,Moderate Property,2,2,2,932.8446053670675,0,0,0,0,0,0,1,69,Amenity Facing Homes
piplani,House,50.0,6153,3.0,Moderate Property,2,3,3,650.0,0,0,0,0,0,0,1,0,Road Facing Homes
ayodhya bypass,Flat,69.0,4162,3.0,Moderate Property,3,3,3,1400.8216490595464,0,0,1,0,0,0,0,117,Amenity Facing Homes
salaiya,Flat,68.0,3885,5.0,New Property,3,3,2,1360.3983828269734,0,0,0,0,0,0,1,67,Amenity Facing Homes
awadhpuri,Flat,23.0,3622,1.0,Old Property,2,2,2,762.0,0,0,0,0,0,0,1,33,Amenity Facing Homes
bhopal,House,40.0,7619,3.0,New Property,2,1,1,525.0,0,0,0,0,0,0,1,22,Road Facing Homes
bhopal,House,180.0,18750,2.0,Old Property,4,4,1,960.0,0,0,0,0,0,0,0,3,Road Facing Homes
chuna bhatti,House,150.0,10000,2.0,Old Property,3,4,2,1500.0,0,0,0,0,0,0,1,0,Road Facing Homes
hoshangabad road,House,260.0,18571,4.0,New Property,4,5,1,1400.0,0,1,0,1,1,0,1,22,Amenity Facing Homes
bagmuliya,Flat,60.0,3833,1.0,New Property,3,3,3,1878.0,0,0,0,0,0,0,0,28,Green View Homes
bairagarh,House,40.0,5925,1.0,Moderate Property,3,3,0,675.0,0,0,0,0,0,0,1,0,Road Facing Homes
shahpura,House,200.0,9523,2.0,Moderate Property,6,7,3,2100.0,0,0,1,1,0,0,0,13,Green View Homes
bagmuliya,House,295.0,10350,2.0,New Property,4,4,1,2850.0,0,0,0,1,0,0,0,31,Amenity Facing Homes
gandhinagar,Flat,7.0,1272,1.0,Moderate Property,1,1,1,660.0,0,0,0,0,0,0,1,0,Road Facing Homes
shahpura,House,600.0,30769,1.0,Old Property,4,4,1,1950.0,0,0,0,0,0,0,0,9,Green View Homes
habib ganj,Flat,26.0,4031,2.0,Old Property,1,1,1,774.0,0,0,0,1,0,0,0,22,Road Facing Homes
hoshangabad road,Flat,22.5,2588,4.0,Moderate Property,2,1,1,660.7649288016728,0,0,0,0,0,0,1,51,Amenity Facing Homes
gandhinagar,House,85.0,5666,1.0,New Property,3,4,2,1000.0,0,0,0,0,0,0,1,25,Green View Homes
katara hills,House,100.0,8333,2.0,Moderate Property,3,3,1,1200.0,0,0,0,0,0,0,1,70,Green View Homes
outside bhopal,House,55.0,6111,2.0,New Property,4,2,2,2160.0,0,0,0,0,1,0,1,3,Green View Homes
ayodhya bypass,Flat,75.0,3797,7.0,Moderate Property,4,4,3,1535.3067463332986,0,0,0,0,0,0,0,56,Amenity Facing Homes
katara hills,House,78.0,6500,1.0,New Property,2,2,1,1200.0,0,0,0,1,0,0,1,14,Green View Homes
bagmuliya,House,231.0,9240,2.0,Old Property,4,3,2,3000.0,1,1,0,0,1,0,1,8,Green View Homes
