pname,society,colony,property_type,price_outer,price_per_sqft,possesion,description,Area,Total Floors,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,area,zone,location,latitude,longitude
"7 Bedroom House for sale in Jhagariya Khurd, Bhopal",sage suncity,bhopal,House,105.0,3750,Ready To Move,"Planning to buy an individual house in bhopal. Then you should definitely check out this 7 bhk house for sale in jhagariya khurd, a well-Planned and well-Connected locality in bhopal. Containing 7 bedrooms, 5 bathrooms , this independent house is spread over a built up area of 2800 sq.Ft. Being a ready to move house, you can expect immediate possession of this 5-10 years old property. The nature of ownership of this independent house is freehold. This independent house is available at an attractive price of 1.05 crore.","Built Up area: 2800
(260.13 sq.m.)  
sq.ft.",1.0,,,,,,7,5,0,Not Available,2800.0,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"2 Bedroom House for sale in Semra, Bhopal",anupam kasturi,bhopal,House,40.0,7619,Ready To Move,"Bhopal jn around 2 km, airport 12km","Plot area 525
(48.77 sq.m.)  
sq.ft.",3.0,,1 to 5 Year Old    View Construction Status,,"['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']",,2,1,1,Not Available,525.0,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"4 Bedroom House for sale in Naveen nagar, Bhopal",naveen nagar,bhopal,House,180.0,18750,Ready To Move,"Check out this 4 bhk house for sale in naveen nagar, a popular residential locality that contains many of the in-Demand properties in bhopal. Another plus point for the house is that it is situated near close to school, close to market and close to railway station. The house has over super built up area of 960 sq.Ft. And comes with 4 bedrooms, 4 bathrooms and 1 balcony. This 10+ years old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 1.8 crore, you can become the proud owner of this independent house. The house provides continuous water supply from municipal corporation. This is a north-Facing property. The house comes well built with stone flooring options.","Plot area 960
(89.19 sq.m.)  
sq.ft.",2.0,North,10+ Year Old,"['1 Water Purifier', '5 Fan', '12 Light', '1 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']",['Water Storage'],,4,4,1,Not Available,960.0,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"2 BHK Flat in Coach Factory, Bhopal",harisiddhi apartment s2,bhopal,Flat,26.0,3933,Ready To Move,"We are the proud owners of this 2 bhk apartment available in harisiddhi apartment s2, coach factory, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 661 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 661
(61.41 sq.m.)  
sq.ft.",2.0,,10+ Year Old,,,,2,2,0,Not Available,661.07,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"4 Bedroom House for sale in Gomti Colony, Bhopal",gomti colony,bhopal,House,125.0,10417,Ready To Move,"Do you wish to buy an independent house in gomti colony, bhopal. This 4 bhk house looks like an ideal choice for somebody looking for peace of mind. This house occupies a carpet area of 1200 sq.Ft. And contains 4 bedrooms, 4 bathrooms and 2 balconies. Being a ready to move house, you can expect immediate possession of this 1-5 years old property. The nature of ownership of this independent house is freehold. This spacious house can be all yours at an attractive price of 1.25 crore.","Carpet area: 1200
(111.48 sq.m.)  
sq.ft.",2.0,,,,,,4,4,2,Not Available,1199.96,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"4 Bedroom House for sale in JK Road, Bhopal",new minal residency,bhopal,House,210.0,12580,Ready To Move,Newly renovated and painted house at most strategic location. Big open house,"Plot area 1550
(144 sq.m.)
Built Up area: 2400 sq.ft. (222.97 sq.m.)
Carpet area: 2250 sq.ft. (209.03 sq.m.)  
sq.ft.",1.0,West,10+ Year Old,"['8 Fan', '1 Fridge', '1 Exhaust Fan', '10 Light', '1 TV', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Park', 'Visitor Parking', 'Security Personnel', 'Airy Rooms']",,4,3,3," pooja room,study room",1669.32,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"3 Bedroom House for sale in Fine Avenue Phase 2, Bhopal",fine avenue phase 2,bhopal,House,70.0,5833,Ready To Move,"Its a ready to move house with 3 bedroom, and 2 bathrooms, dmart is at walking distance ( 100 mtr), all amenities are nearby.","Plot area 1200
(111.48 sq.m.)  
sq.ft.",1.0,East,10+ Year Old,,,Main Road,3,2,2," pooja room,others",1200.07,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"2 Bedroom House for sale in Khajuri, Bhopal",khajuri,bhopal,House,69.0,2156,Ready To Move,Covered parking & kitchen garden at the back,"Plot area 3200
(297.29 sq.m.)  
sq.ft.",2.0,,1 to 5 Year Old,,,,2,2,2, pooja room,3200.37,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"4 Bedroom House for sale in noor mahal ashok colony, Bhopal",noor mahal ashok colony,bhopal,House,250.0,9259,Ready To Move,"Property for sale house with commercial space in noormahal ashok colony, bhopal","Plot area 2700
(250.84 sq.m.)
Built Up area: 5400 sq.ft. (501.68 sq.m.)
Carpet area: 4900 sq.ft. (455.22 sq.m.)  
sq.ft.",1.0,North-East,10+ Year Old,"['2 Bed', '4 Wardrobe', '6 Fan', '1 Exhaust Fan', '1 Geyser', '15 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']","Park/Garden,Main Road",4,3,2," study room,servant room",2700.08,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
"2 BHK Flat in Malviya Nagar, Bhopal",jeevan sagar apartment,bhopal,Flat,50.0,6666,Ready To Move,"A 2 bhk flat ideal for small family/ commercial use/ students located at the prime location of malviya nagar, in the heart of bhopal is available. Aesthetically designed, the property has built in wardrobes, store room, pooja room, surrounded by posh commercial establishments. Location is the unique factor of the property. 1 km from new market, infront of raj bhawan due to which electricity power cuts hardly happen. Walk-In distance from birla mandir, raj bhawan, new market, hospital nearby, gym e.T.C. Fully maintained property and ready to move equipped with wardrobes, study table, bed e.T.C.","Built Up area: 750
(69.68 sq.m.)
Carpet area: 650 sq.ft. (60.39 sq.m.)  
sq.ft.",1.0,East,10+ Year Old,"['1 Bed', '5 Wardrobe', '8 Fan', '3 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Feng Shui / Vaastu Compliant'],,2,2,2," pooja room,others",750.08,Bhopal Overall Sample,Bhopal Overall Sample,23.2599,77.4126
